family,n,inst,p,ceiling,regret_exact_raw,regret_exact_norm,regret_samp_raw,regret_samp_norm
WS(k=4;b=0.1),14,7,3,0.90057,0.073577,0.019695,0.056924,0.010055
WS(k=4;b=0.1),14,8,1,0.762654,0.032193,0.034077,0.039887,0.012237
WS(k=4;b=0.1),14,8,3,0.854568,0.092429,0.044258,0.075101,0.024564
WS(k=4;b=0.1),14,9,1,0.831998,0.033095,0.024795,0.017541,0.017584
WS(k=4;b=0.1),14,9,3,0.914168,0.083283,0.026738,0.072544,0.012389
WS(k=4;b=0.1),14,10,1,0.804126,0.031886,0.06051,0.018339,0.025979
WS(k=4;b=0.1),14,10,3,0.900349,0.097537,0.027758,0.063514,0.026912
WS(k=4;b=0.5),12,1,1,0.845243,0.035189,0.079965,0.023408,0.055869
WS(k=4;b=0.5),12,1,3,0.935996,0.071062,0.040321,0.064418,0.013061
WS(k=4;b=0.5),12,2,1,0.832221,0.028295,0.035157,0.015152,0.04613
WS(k=4;b=0.5),12,2,3,0.914179,0.061682,0.020849,0.065538,0.010008
WS(k=4;b=0.5),12,3,1,0.764643,0.03398,0.063349,0.045686,0.006159
WS(k=4;b=0.5),12,3,3,0.875523,0.089118,0.078579,0.0925,0.024957
WS(k=4;b=0.5),12,4,1,0.787335,0.026155,0.056736,0.016447,0.013956
WS(k=4;b=0.5),12,4,3,0.875172,0.066132,0.038183,0.036948,0.011157
WS(k=4;b=0.5),12,5,1,0.795132,0.02984,0.059059,0.025119,0.033666
WS(k=4;b=0.5),12,5,3,0.906733,0.088384,0.076903,0.088384,0.031049
WS(k=4;b=0.5),12,6,1,0.836743,0.030547,0.034638,0.030547,0.008256
WS(k=4;b=0.5),12,6,3,0.915807,0.059828,0.033935,0.080887,0.01863
WS(k=4;b=0.5),12,7,1,0.765067,0.034457,0.041638,0.040704,0.008561
WS(k=4;b=0.5),12,7,3,0.882203,0.095317,0.070439,0.12766,0.014195
WS(k=4;b=0.5),12,8,1,0.792171,0.028681,0.031784,0.018406,0.012749
WS(k=4;b=0.5),12,8,3,0.883416,0.069988,0.048506,0.050406,0.01324
WS(k=4;b=0.5),12,9,1,0.826582,0.031067,0.032292,0.038578,0.008629
WS(k=4;b=0.5),12,9,3,0.911972,0.063968,0.026559,0.102352,0.014011
WS(k=4;b=0.5),12,10,1,0.835704,0.029984,0.058496,0.01666,0.058496
WS(k=4;b=0.5),12,10,3,0.927756,0.06941,0.015278,0.056685,0.010986
WS(k=4;b=0.5),14,1,1,0.832776,0.033475,0.039122,0.054808,0.010546
WS(k=4;b=0.5),14,1,3,0.915162,0.081852,0.02698,0.120046,0.011224
WS(k=4;b=0.5),14,2,1,0.802868,0.037224,0.057713,0.018198,0.019809
WS(k=4;b=0.5),14,2,3,0.902952,0.099532,0.086297,0.078775,0.031625
WS(k=4;b=0.5),14,3,1,0.830932,0.032765,0.044429,0.004168,0.05504
WS(k=4;b=0.5),14,3,3,0.914176,0.083529,0.034633,0.048758,0.077305
WS(k=4;b=0.5),14,4,1,0.765045,0.033916,0.054255,0.054387,0.006463
WS(k=4;b=0.5),14,4,3,0.866448,0.100535,0.115845,0.077834,0.012444
WS(k=4;b=0.5),14,5,1,0.835396,0.034983,0.056257,0.042505,0.00955
WS(k=4;b=0.5),14,5,3,0.919528,0.083451,0.024241,0.059538,0.007675
WS(k=4;b=0.5),14,6,1,0.804495,0.032041,0.075425,0.045399,0.003292
WS(k=4;b=0.5),14,6,3,0.899802,0.095011,0.051035,0.057872,0.019648
WS(k=4;b=0.5),14,7,1,0.7207,0.035947,0.05471,0.033023,0.01794
WS(k=4;b=0.5),14,7,3,0.844472,0.126391,0.055682,0.087784,0.043453
WS(k=4;b=0.5),14,8,1,0.80262,0.031396,0.070128,0.04246,0.044874
WS(k=4;b=0.5),14,8,3,0.890534,0.088711,0.032092,0.088468,0.020487
WS(k=4;b=0.5),14,9,1,0.810909,0.036206,0.070085,0.036206,0.028528
WS(k=4;b=0.5),14,9,3,0.914571,0.10572,0.035635,0.079327,0.032763
WS(k=4;b=0.5),14,10,1,0.774663,0.033961,0.084737,0.04028,0.034215
WS(k=4;b=0.5),14,10,3,0.878977,0.104835,0.069215,0.095533,0.037783
3-regular,12,1,1,0.778747,0.048749,0.053292,0.037008,0.034845
3-regular,12,1,3,0.923538,0.097507,0.035531,0.082397,0.033861
3-regular,12,2,1,0.759324,0.036765,0.034168,0.026384,0.034168
3-regular,12,2,3,0.857677,0.08196,0.048647,0.08196,0.064001
3-regular,12,3,1,0.768335,0.042055,0.058119,0.025949,0.009034
3-regular,12,3,3,0.890753,0.101681,0.094636,0.073616,0.029114
3-regular,12,4,1,0.809946,0.039216,0.046015,0.028143,0.0199
3-regular,12,4,3,0.902902,0.07311,0.036473,0.074258,0.022195
3-regular,12,5,1,0.800487,0.033724,0.051339,0.015071,0.011697
3-regular,12,5,3,0.889274,0.067326,0.021592,0.057463,0.035765
3-regular,12,6,1,0.809946,0.028143,0.046015,0.028143,0.01284
3-regular,12,6,3,0.898206,0.069704,0.033493,0.070939,0.019907
3-regular,12,7,1,0.800487,0.033724,0.051339,0.023667,0.057047
3-regular,12,7,3,0.884404,0.063706,0.035141,0.077745,0.004506
3-regular,12,8,1,0.800487,0.033724,0.051339,0.015071,0.051339
3-regular,12,8,3,0.884404,0.063706,0.035141,0.058398,0.035141
3-regular,12,9,1,0.791514,0.028718,0.027433,0.04034,0.039602
3-regular,12,9,3,0.877543,0.065562,0.050783,0.090933,0.001635
3-regular,12,10,1,0.783211,0.024383,0.040642,0.053739,0.009953
3-regular,12,10,3,0.874309,0.068806,0.049978,0.081473,0.016373
3-regular,14,1,1,0.836595,0.042029,0.045848,0.042029,0.006785
3-regular,14,1,3,0.920341,0.066309,0.045612,0.060116,0.021595
3-regular,14,2,1,0.75612,0.04206,0.066741,0.022026,0.020217
3-regular,14,2,3,0.869413,0.093631,0.058222,0.077171,0.066672
3-regular,14,3,1,0.782108,0.034991,0.04761,0.044442,0.005412
3-regular,14,3,3,0.880845,0.098328,0.050646,0.074622,0.039176
3-regular,14,4,1,0.790117,0.039694,0.043301,0.024206,0.011593
3-regular,14,4,3,0.887711,0.099412,0.064632,0.071005,0.014102
3-regular,14,5,1,0.828114,0.037049,0.061086,0.026078,0.015102
3-regular,14,5,3,0.912329,0.08399,0.055819,0.065825,0.005625
3-regular,14,6,1,0.805164,0.0246,0.024701,0.035727,0.017071
3-regular,14,6,3,0.880618,0.06964,0.039745,0.072238,0.004127
3-regular,14,7,1,0.75612,0.04206,0.066741,0.009479,0.01399
3-regular,14,7,3,0.869364,0.114802,0.080212,0.081825,0.052216
3-regular,14,8,1,0.790117,0.039694,0.075458,0.019752,0.019077
3-regular,14,8,3,0.88797,0.098932,0.070878,0.070588,0.027756
3-regular,14,9,1,0.798126,0.044397,0.059348,0.02325,0.040119
3-regular,14,9,3,0.898164,0.082742,0.055526,0.071075,0.021498
3-regular,14,10,1,0.774513,0.030702,0.032736,0.030702,0.024444
3-regular,14,10,3,0.864645,0.088723,0.068493,0.088723,0.019817
