family,n,instance,seed,m,law,method,p,ar,ceil,regret
ER(0.5),16,6,20262326,59,logn2.5,binned_exact,10,0.8103813272426799,0.917258741390959,0.10687741414827912
ER(0.5),16,6,20262326,59,logn2.5,binned_sampled,10,0.8103813272426799,0.917258741390959,0.10687741414827912
ER(0.5),16,6,20262326,59,logn2.5,transfer_1,10,0.7624521864656075,0.917258741390959,0.15480655492535145
ER(0.5),16,6,20262326,59,logn2.5,transfer_2,10,0.8996606597550496,0.917258741390959,0.01759808163590937
ER(0.5),16,6,20262326,59,logn2.5,transfer_3,10,0.7856532094957291,0.917258741390959,0.13160553189522983
ER(0.5),16,6,20262326,59,logn2.5,universal,10,0.917258741390959,0.917258741390959,0.0
ER(0.5),16,6,20262326,59,logn2.5,ceiling,20,0.9433145494162302,0.9433145494162302,0.0
ER(0.5),16,6,20262326,59,logn2.5,binned_exact,20,0.8147546195815262,0.9433145494162302,0.128559929834704
ER(0.5),16,6,20262326,59,logn2.5,binned_sampled,20,0.8147546195815262,0.9433145494162302,0.128559929834704
ER(0.5),16,6,20262326,59,logn2.5,transfer_1,20,0.7241850066598453,0.9433145494162302,0.21912954275638485
ER(0.5),16,6,20262326,59,logn2.5,transfer_2,20,0.9338514034224301,0.9433145494162302,0.009463145993800048
ER(0.5),16,6,20262326,59,logn2.5,transfer_3,20,0.6308051335486403,0.9433145494162302,0.31250941586758985
ER(0.5),16,6,20262326,59,logn2.5,universal,20,0.9433145494162302,0.9433145494162302,0.0
ER(0.5),16,7,20262327,68,logn2.5,ceiling,10,0.8478537065976725,0.8478537065976725,0.0
ER(0.5),16,7,20262327,68,logn2.5,binned_exact,10,0.7910188064892069,0.8478537065976725,0.05683490010846559
ER(0.5),16,7,20262327,68,logn2.5,binned_sampled,10,0.788686191886536,0.8478537065976725,0.05916751471113646
ER(0.5),16,7,20262327,68,logn2.5,transfer_1,10,0.5936727448489771,0.8478537065976725,0.2541809617486953
ER(0.5),16,7,20262327,68,logn2.5,transfer_2,10,0.5674558610706543,0.8478537065976725,0.2803978455270182
ER(0.5),16,7,20262327,68,logn2.5,transfer_3,10,0.5589467022328903,0.8478537065976725,0.2889070043647821
ER(0.5),16,7,20262327,68,logn2.5,universal,10,0.5982703877506026,0.8478537065976725,0.24958331884706986
ER(0.5),16,7,20262327,68,logn2.5,ceiling,20,0.8086449028512519,0.8086449028512519,0.0
ER(0.5),16,7,20262327,68,logn2.5,binned_exact,20,0.8086449028512519,0.8086449028512519,0.0
ER(0.5),16,7,20262327,68,logn2.5,binned_sampled,20,0.8086449028512519,0.8086449028512519,0.0
