family,n,instance,seed,source_rep,p,ar_transfer,ar_ceiling,regret_transfer
ER(0.5),12,15,20271826,3,3,0.881354307521629,0.887842168791486,0.006487861269857009
ER(0.5),12,16,20271827,1,1,0.8243618241563844,0.8250840237221323,0.0007221995657479274
ER(0.5),12,16,20271827,1,3,0.9129688379343402,0.9129688379343402,0.0
ER(0.5),12,16,20271827,2,1,0.8250840237221323,0.8250840237221323,0.0
ER(0.5),12,16,20271827,2,3,0.8991998277583823,0.9129688379343402,0.013769010175957996
ER(0.5),12,16,20271827,3,1,0.8243618241563844,0.8250840237221323,0.0007221995657479274
ER(0.5),12,16,20271827,3,3,0.912488097938459,0.9129688379343402,0.00048073999588127414
ER(0.5),12,17,20271828,1,1,0.758971354361976,0.7765560088548945,0.01758465449291846
ER(0.5),12,17,20271828,1,3,0.8843474562816727,0.8951165353526761,0.01076907907100344
ER(0.5),12,17,20271828,2,1,0.7663982269999731,0.7765560088548945,0.010157781854921444
ER(0.5),12,17,20271828,2,3,0.8889800524914666,0.8951165353526761,0.006136482861209491
ER(0.5),12,17,20271828,3,1,0.758971354361976,0.7765560088548945,0.01758465449291846
ER(0.5),12,17,20271828,3,3,0.8802405278096469,0.8951165353526761,0.014876007543029202
ER(0.5),12,18,20271829,1,1,0.8124843042116329,0.8135763091887231,0.0010920049770902773
ER(0.5),12,18,20271829,1,3,0.898374174016335,0.900162838337084,0.0017886643207489783
ER(0.5),12,18,20271829,2,1,0.8135763091887231,0.8135763091887231,0.0
ER(0.5),12,18,20271829,2,3,0.8794161282818742,0.900162838337084,0.020746710055209783
ER(0.5),12,18,20271829,3,1,0.8124843042116329,0.8135763091887231,0.0010920049770902773
ER(0.5),12,18,20271829,3,3,0.900162838337084,0.900162838337084,0.0
ER(0.5),12,19,20271830,1,1,0.7704350305351364,0.7788714863498212,0.008436455814684773
ER(0.5),12,19,20271830,1,3,0.8691000205583013,0.8731609143722003,0.004060893813899069
ER(0.5),12,19,20271830,2,1,0.775366036221899,0.7788714863498212,0.0035054501279221384
ER(0.5),12,19,20271830,2,3,0.8718355466648283,0.8731609143722003,0.001325367707372016
ER(0.5),12,19,20271830,3,1,0.7704350305351364,0.7788714863498212,0.008436455814684773
ER(0.5),12,19,20271830,3,3,0.8657496224356734,0.8731609143722003,0.007411291936526898
ER(0.5),12,20,20271831,1,1,0.8114108753561797,0.8138558890686385,0.0024450137124587545
ER(0.5),12,20,20271831,1,3,0.9079783049843353,0.9089574339882925,0.0009791290039572464
ER(0.5),12,20,20271831,2,1,0.8138558890686385,0.8138558890686385,0.0
ER(0.5),12,20,20271831,2,3,0.9012838895669256,0.9089574339882925,0.007673544421366918
ER(0.5),12,20,20271831,3,1,0.8114108753561797,0.8138558890686385,0.0024450137124587545
ER(0.5),12,20,20271831,3,3,0.9039146012669387,0.9089574339882925,0.005042832721353863
ER(0.5),12,21,20271832,1,1,0.8421492504319752,0.8438434542733733,0.0016942038413980676
