family,n,inst,m,p,regret,bound_paper,margin,bound_sharp,bound_unif,ratio_paper,ratio_sharp,e_star,e_hat,onesided_sign_ok,onesided_bound,onesided_holds,err_cos
3-regular,12,2,18,3,0.048647,0.489655,0.063367,0.426288,0.904664,10.07,8.76,0.008683,-0.103332,0,0.267078,1,0.5996
3-regular,12,3,18,1,0.058119,0.574252,0.042561,0.531691,1.202075,9.88,9.15,-0.035162,-0.135841,1,0.388314,1,-0.7787
3-regular,12,3,18,3,0.094636,0.710691,0.067461,0.643229,1.203068,7.51,6.8,-0.013178,-0.175275,1,0.478976,1,0.1579
3-regular,12,4,18,1,0.046015,0.445281,0.030724,0.414557,0.918334,9.68,9.01,-0.035633,-0.112372,1,0.293955,1,-0.6403
3-regular,12,4,18,3,0.036473,0.339434,0.019494,0.31994,0.79612,9.31,8.77,-0.02351,-0.079477,1,0.224031,1,-0.726
3-regular,12,5,18,1,0.051339,0.44647,0.031094,0.415375,0.913759,8.7,8.09,-0.029276,-0.11171,1,0.307348,1,-0.766
3-regular,12,5,18,3,0.021592,0.267894,0.026641,0.241253,0.737573,12.41,11.17,-0.018325,-0.066559,1,0.164067,1,-0.6155
3-regular,14,1,21,1,0.045848,0.4114,0.026621,0.384779,0.901866,8.97,8.39,-0.03227,-0.104739,1,0.279223,1,-0.8059
3-regular,14,1,21,3,0.045612,0.396618,0.037932,0.358686,0.858833,8.7,7.86,-0.015611,-0.099155,1,0.272997,1,0.4959
3-regular,14,2,21,1,0.066741,0.59565,0.051517,0.544134,1.244137,8.92,8.15,-0.035179,-0.153437,1,0.405648,1,-0.5262
3-regular,14,2,21,3,0.058222,0.550949,0.038333,0.512616,1.014939,9.46,8.8,-0.028175,-0.12473,1,0.359697,1,-0.2624
3-regular,14,3,21,1,0.04761,0.45934,0.02685,0.43249,0.958078,9.65,9.08,-0.033553,-0.108014,1,0.309638,1,-0.8108
3-regular,14,3,21,3,0.050646,0.48997,0.065071,0.424899,1.005986,9.67,8.39,-0.002589,-0.118306,1,0.298136,1,-0.6343
3-regular,14,4,21,1,0.043301,0.461171,0.032419,0.428752,0.935024,10.65,9.9,-0.031774,-0.107494,1,0.304272,1,-0.82
3-regular,14,4,21,3,0.064632,0.549003,0.060483,0.48852,1.10007,8.49,7.56,-0.01515,-0.140265,1,0.349601,1,-0.633
3-regular,14,5,21,1,0.061086,0.515216,0.02736,0.487856,1.129795,8.43,7.99,-0.035039,-0.123485,1,0.363364,1,-0.7906
3-regular,14,5,21,3,0.055819,0.478628,0.045614,0.433014,1.002231,8.57,7.76,-0.025818,-0.127252,1,0.326056,1,0.5448
