family,n,instance,model,tag,pearson,spearman_grid,dgamma,dbeta,same_argmax,slicesum_min,slicesum_max
ER(0.5),12,7,paper,cal,0.9898702184482314,0.9900239043673025,0.0805536577843537,0.0,0,4095.9999999999986,4096.0000000000655
ER(0.5),12,7,tri_init,raw,0.22973758467368113,0.2104110605151326,0.483321946706122,0.0,0,7784.0,7784.000000000001
ER(0.5),12,7,tri_init,cal,0.22973758467368116,0.21040624335196445,0.483321946706122,0.0,0,7784.0,7784.000000000001
ER(0.5),12,7,tri_25,raw,0.31605604539638826,0.305856515759602,0.24166097335306097,1.0069207223044208,0,11692.577398908104,11703.302259088989
ER(0.5),12,7,tri_25,cal,0.31605223795804005,0.30584956183974493,0.24166097335306097,1.0069207223044208,0,11692.577398908104,11703.302259088989
ER(0.5),12,7,tri_50,raw,0.3160598618138086,0.30586441964008226,0.24166097335306097,1.0069207223044208,0,11693.31964272037,11704.039869377313
ER(0.5),12,7,tri_50,cal,0.31605605920016594,0.305857873231174,0.24166097335306097,1.0069207223044208,0,11693.31964272037,11704.039869377313
ER(0.5),12,7,tri_fit,raw,0.3160741328358104,0.30587968452367054,0.24166097335306097,1.0069207223044208,0,11694.166894832753,11704.861082813179
ER(0.5),12,7,tri_fit,cal,0.31607034884765656,0.30588463748895495,0.24166097335306097,1.0069207223044208,0,11694.166894832753,11704.861082813179
ER(0.5),12,7,norm_init,raw,-0.08505496983614866,-0.4914165601138633,0.40276828892176836,0.5235987755982989,0,4095.9999999251268,4095.9999999251268
ER(0.5),12,7,norm_init,cal,-0.08505496983614871,-0.49143475250790164,0.40276828892176836,0.5235987755982989,0,4095.9999999251268,4095.9999999251268
ER(0.5),12,7,norm_25,raw,0.4264728048402019,0.7352803644025638,0.40276828892176836,1.2888585245496587,0,4052.11174454171,4054.5007830969876
ER(0.5),12,7,norm_25,cal,0.42647286044878946,0.7352803644025638,0.40276828892176836,1.2888585245496587,0,4052.11174454171,4054.5007830969876
ER(0.5),12,7,norm_50,raw,0.427735709453274,0.735548072878502,0.40276828892176836,1.2888585245496587,0,4049.4186001227868,4055.9865684884726
ER(0.5),12,7,norm_50,cal,0.4277361117618687,0.7355492733780714,0.40276828892176836,1.2888585245496587,0,4049.4186001227868,4055.9865684884726
ER(0.5),12,7,norm_fit,raw,0.42773789361939235,0.7355566754827337,0.40276828892176836,1.2888585245496587,0,4049.393483086743,4055.9832515165217
ER(0.5),12,7,norm_fit,cal,0.42773829842507727,0.7355566754827337,0.40276828892176836,1.2888585245496587,0,4049.393483086743,4055.9832515165217
ER(0.5),12,8,emp,raw,0.999375,0.9993749999999999,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,8,emp,cal,0.999375,0.9993749999999999,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,8,paper,raw,0.7331787318003262,0.8566340826682071,0.24166097335306108,0.0805536577843537,0,45.0289619128775,70389.64781986256
ER(0.5),12,8,paper,cal,0.9852455644808605,0.9848315095200257,0.08055365778435364,0.04027682889217685,0,45.0289619128775,70389.64781986256
ER(0.5),12,8,tri_init,raw,0.28096604693989263,0.24607855998544295,0.24166097335306108,0.0,0,7783.999999999999,7784.000000000001
ER(0.5),12,8,tri_init,cal,0.2809660469398926,0.24607293320023554,0.24166097335306108,0.0,0,7783.999999999999,7784.000000000001
ER(0.5),12,8,tri_25,raw,0.3133705251144294,0.2857435942891962,0.0805536577843537,1.0069207223044208,0,10205.313642231007,10226.459466781584
ER(0.5),12,8,tri_25,cal,0.3133618905956365,0.2857223958854342,0.0805536577843537,1.0069207223044208,0,10205.313642231007,10226.459466781584
ER(0.5),12,8,tri_50,raw,0.31336419188454184,0.28572956118765674,0.0805536577843537,1.0069207223044208,0,10205.592187677596,10226.740991625446
ER(0.5),12,8,tri_50,cal,0.31335555527059566,0.28571491802696725,0.0805536577843537,1.0069207223044208,0,10205.592187677596,10226.740991625446
ER(0.5),12,8,tri_fit,raw,0.31335562550266843,0.2857224487975544,0.0805536577843537,1.0069207223044208,0,10205.860470172733,10226.988118017718
ER(0.5),12,8,tri_fit,cal,0.31334700960033335,0.28571647397702393,0.0805536577843537,1.0069207223044208,0,10205.860470172733,10226.988118017718
ER(0.5),12,8,norm_init,raw,-0.0727188610559938,-0.4663508691930412,0.483321946706122,0.5235987755982989,0,4095.9999999251268,4095.9999999251268
ER(0.5),12,8,norm_init,cal,-0.07271886105599383,-0.466350166813963,0.483321946706122,0.5235987755982989,0,4095.9999999251268,4095.9999999251268
ER(0.5),12,8,norm_25,raw,0.40615993538045225,0.7503681767214602,0.483321946706122,0.28193780224523785,0,4061.4892635912265,4066.306191699934
ER(0.5),12,8,norm_25,cal,0.40616019820236576,0.7503681767214602,0.483321946706122,0.28193780224523785,0,4061.4892635912265,4066.306191699934
ER(0.5),12,8,norm_50,raw,0.40613647034474476,0.7503850771523904,0.483321946706122,0.28193780224523785,0,4061.6593538169777,4066.7428292872155
ER(0.5),12,8,norm_50,cal,0.4061367666618207,0.7503850771523904,0.483321946706122,0.28193780224523785,0,4061.6593538169777,4066.7428292872155
ER(0.5),12,8,norm_fit,raw,0.40613647034474476,0.7503850771523904,0.483321946706122,0.28193780224523785,0,4061.6593538169777,4066.7428292872155
ER(0.5),12,8,norm_fit,cal,0.4061367666618207,0.7503850771523904,0.483321946706122,0.28193780224523785,0,4061.6593538169777,4066.7428292872155
ER(0.5),12,9,emp,raw,0.999375,0.9993750000000001,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,9,emp,cal,0.999375,0.9993750000000001,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,9,paper,raw,0.45018216423639135,0.6740930865616669,0.48332194670612205,0.0805536577843537,0,5.339272812512761,3.274368006217814e6
ER(0.5),12,9,paper,cal,0.9965586915793124,0.9959043265825916,0.08055365778435364,0.0,0,5.339272812512761,3.274368006217814e6
ER(0.5),12,9,tri_init,raw,0.30338962911350537,0.2576107723740301,0.0,0.04027682889217682,0,7784.0,7784.0
ER(0.5),12,9,tri_init,cal,0.3033896291135055,0.2576112426533859,0.0,0.04027682889217682,0,7784.0,7784.0
ER(0.5),12,9,tri_25,raw,0.31464890552215014,0.27588942530428434,0.5638756044904757,0.04027682889217682,0,8557.244801385901,8574.529962484
ER(0.5),12,9,tri_25,cal,0.31465508265633496,0.2758900081017406,0.5638756044904757,0.04027682889217682,0,8557.244801385901,8574.529962484
ER(0.5),12,9,tri_50,raw,0.3134172650997096,0.27446964587834205,0.5638756044904757,0.04027682889217682,0,8513.967614397181,8534.791151294768
ER(0.5),12,9,tri_50,cal,0.3134248026971662,0.27445346171806845,0.5638756044904757,0.04027682889217682,0,8513.967614397181,8534.791151294768
ER(0.5),12,9,tri_fit,raw,0.313420319503425,0.27447268930498536,0.5638756044904757,0.04027682889217682,0,8514.288492990288,8535.130055845988
ER(0.5),12,9,tri_fit,cal,0.31342787262766864,0.27446081543058637,0.5638756044904757,0.04027682889217682,0,8514.288492990288,8535.130055845988
ER(0.5),12,9,norm_init,raw,-0.007856357054662049,-0.37922668946349797,0.6444292622748293,0.4430451178139452,0,4096.000043757046,4096.000043757046
ER(0.5),12,9,norm_init,cal,-0.00785635705466205,-0.3792210613125869,0.6444292622748293,0.48332194670612205,0,4096.000043757046,4096.000043757046
ER(0.5),12,9,norm_25,raw,0.3657048349438261,0.7611898692438525,0.6444292622748293,0.32221463113741466,0,4079.01784172978,4085.475371211274
ER(0.5),12,9,norm_25,cal,0.365705919555694,0.761179578778347,0.6444292622748293,0.32221463113741466,0,4079.01784172978,4085.475371211274
ER(0.5),12,9,norm_50,raw,0.3657041560877421,0.7611919935098146,0.6444292622748293,0.32221463113741466,0,4079.0173572600843,4085.4754744979077
ER(0.5),12,9,norm_50,cal,0.3657052408974005,0.7611854991998158,0.6444292622748293,0.32221463113741466,0,4079.0173572600843,4085.4754744979077
ER(0.5),12,9,norm_fit,raw,0.3657041560877421,0.7611919935098146,0.6444292622748293,0.32221463113741466,0,4079.0173572600843,4085.4754744979077
ER(0.5),12,9,norm_fit,cal,0.3657052408974005,0.7611854991998158,0.6444292622748293,0.32221463113741466,0,4079.0173572600843,4085.4754744979077
ER(0.5),12,10,emp,raw,0.9993750000000001,0.9993749999999999,0.0,0.0,1,4095.9999999999995,4096.0
ER(0.5),12,10,emp,cal,0.9993750000000001,0.9993601497450962,0.0,0.0,1,4095.9999999999995,4096.0
ER(0.5),12,10,paper,raw,0.0008840405576575483,0.4391386363546979,0.4027682889217684,0.8055365778435366,0,568.9934016568358,3.5965916147076416e8
ER(0.5),12,10,paper,cal,0.9806231761348082,0.9806065382362075,0.08055365778435367,0.04027682889217685,0,568.9934016568358,3.5965916147076416e8
