family,n,instance,seed,m,kind,K,p,value,ceil,regret
ER(0.5),14,6,20262112,53,binned_proxy,8,3,0.7798314423564273,0.8968753261263189,0.11704388376989161
ER(0.5),14,6,20262112,53,leak_g0.2_b0.2,16,1,0.03819250144716839,,
ER(0.5),14,6,20262112,53,leak_g0.5_b0.3,16,1,0.14789021934161287,,
ER(0.5),14,6,20262112,53,leak_g1.0_b0.4,16,1,0.5102145023340408,,
ER(0.5),14,6,20262112,53,binned_proxy,16,1,0.7631117534461699,0.8085188620971405,0.04540710865097064
ER(0.5),14,6,20262112,53,binned_proxy,16,3,0.78587606788094,0.8968753261263189,0.11099925824537893
ER(0.5),14,6,20262112,53,leak_g0.2_b0.2,32,1,0.026684389653861648,,
ER(0.5),14,6,20262112,53,leak_g0.5_b0.3,32,1,0.13501709804781442,,
ER(0.5),14,6,20262112,53,leak_g1.0_b0.4,32,1,0.4925154759320515,,
ER(0.5),14,6,20262112,53,binned_proxy,32,1,0.7631117534461699,0.8085188620971405,0.04540710865097064
ER(0.5),14,6,20262112,53,binned_proxy,32,3,0.8168622756050321,0.8968753261263189,0.08001305052128682
ER(0.5),14,6,20262112,53,leak_g0.2_b0.2,64,1,0.020573762479738668,,
ER(0.5),14,6,20262112,53,leak_g0.5_b0.3,64,1,0.12924826114993415,,
ER(0.5),14,6,20262112,53,leak_g1.0_b0.4,64,1,0.48295162059357216,,
ER(0.5),14,6,20262112,53,binned_proxy,64,1,0.7787743778414669,0.8085188620971405,0.029744484255673664
ER(0.5),14,6,20262112,53,binned_proxy,64,3,0.8168622756050321,0.8968753261263189,0.08001305052128682
ER(0.5),14,6,20262112,53,leak_g0.2_b0.2,128,1,0.017354563116653555,,
ER(0.5),14,6,20262112,53,leak_g0.5_b0.3,128,1,0.12636020606036816,,
ER(0.5),14,6,20262112,53,leak_g1.0_b0.4,128,1,0.4764906963522594,,
ER(0.5),14,6,20262112,53,binned_proxy,128,1,0.7787743778414669,0.8085188620971405,0.029744484255673664
ER(0.5),14,6,20262112,53,binned_proxy,128,3,0.8278542385308143,0.8968753261263189,0.06902108759550463
ER(0.5),14,7,20262113,50,ceiling,0,1,0.8193277207521352,0.8193277207521352,0.0
ER(0.5),14,7,20262113,50,ceiling,0,3,0.9069249285077355,0.9069249285077355,0.0
ER(0.5),14,7,20262113,50,leak_g0.2_b0.2,4,1,0.08752746462170159,,
ER(0.5),14,7,20262113,50,leak_g0.5_b0.3,4,1,0.2225567890875911,,
ER(0.5),14,7,20262113,50,leak_g1.0_b0.4,4,1,0.5858425758458334,,
ER(0.5),14,7,20262113,50,binned_proxy,4,1,0.7452446688349291,0.8193277207521352,0.0740830519172061
ER(0.5),14,7,20262113,50,binned_proxy,4,3,0.7859237963757539,0.9069249285077355,0.1210011321319816
