density,n,instance,seed,m,method,p,ar,ceil,regret
4n,14,3,20262121,56,transfer_1,3,0.8640374316189713,0.8647888597527452,0.0007514281337739348
4n,14,3,20262121,56,transfer_2,3,0.8647888597527452,0.8647888597527452,0.0
4n,14,3,20262121,56,transfer_3,3,0.8647888597527452,0.8647888597527452,0.0
4n,14,3,20262121,56,universal,3,0.8640374316189713,0.8647888597527452,0.0007514281337739348
4n,14,4,20262122,56,leak_g0.2_b0.2,1,0.04655523460377979,,
4n,14,4,20262122,56,leak_g0.5_b0.3,1,0.3348703553936508,,
4n,14,4,20262122,56,leak_g1.0_b0.4,1,0.8552371830313708,,
4n,14,4,20262122,56,ceiling,1,0.7722169733035811,0.7722169733035811,0.0
4n,14,4,20262122,56,exactN,1,0.741802733083522,0.7722169733035811,0.03041424022005912
4n,14,4,20262122,56,sampledN,1,0.7574828742410545,0.7722169733035811,0.01473409906252654
4n,14,4,20262122,56,transfer_1,1,0.7722169733035811,0.7722169733035811,0.0
4n,14,4,20262122,56,transfer_2,1,0.7668409737713372,0.7722169733035811,0.00537599953224388
4n,14,4,20262122,56,transfer_3,1,0.7722169733035811,0.7722169733035811,0.0
4n,14,4,20262122,56,universal,1,0.7722169733035811,0.7722169733035811,0.0
4n,14,4,20262122,56,ceiling,3,0.8320810275631358,0.8320810275631358,0.0
4n,14,4,20262122,56,exactN,3,0.7870249430019838,0.8320810275631358,0.045056084561152066
4n,14,4,20262122,56,sampledN,3,0.7834100154445356,0.8320810275631358,0.048671012118600254
4n,14,4,20262122,56,transfer_1,3,0.8306643927974158,0.8320810275631358,0.0014166347657200706
4n,14,4,20262122,56,transfer_2,3,0.8320810275631358,0.8320810275631358,0.0
4n,14,4,20262122,56,transfer_3,3,0.8320810275631358,0.8320810275631358,0.0
4n,14,4,20262122,56,universal,3,0.8306643927974158,0.8320810275631358,0.0014166347657200706
4n,14,5,20262123,56,leak_g0.2_b0.2,1,0.04588757986057006,,
4n,14,5,20262123,56,leak_g0.5_b0.3,1,0.330538240910148,,
4n,14,5,20262123,56,leak_g1.0_b0.4,1,0.8429093347423111,,
4n,14,5,20262123,56,ceiling,1,0.7718646001373638,0.7718646001373638,0.0
4n,14,5,20262123,56,exactN,1,0.7394848220855291,0.7718646001373638,0.03237977805183467
4n,14,5,20262123,56,sampledN,1,0.7394848220855291,0.7718646001373638,0.03237977805183467
4n,14,5,20262123,56,transfer_1,1,0.7718646001373638,0.7718646001373638,0.0
4n,14,5,20262123,56,transfer_2,1,0.7653043691734361,0.7718646001373638,0.00656023096392766
4n,14,5,20262123,56,transfer_3,1,0.7718646001373638,0.7718646001373638,0.0
4n,14,5,20262123,56,universal,1,0.7718646001373638,0.7718646001373638,0.0
4n,14,5,20262123,56,ceiling,3,0.8370149653067073,0.8370149653067073,0.0
4n,14,5,20262123,56,exactN,3,0.7861048168242271,0.8370149653067073,0.05091014848248021
4n,14,5,20262123,56,sampledN,3,0.7749051415391808,0.8370149653067073,0.062109823767526495
4n,14,5,20262123,56,transfer_1,3,0.8334775698117,0.8370149653067073,0.0035373954950073117
