family,n,instance,seed,m,method,p,ar,ceil,regret
ER(0.5),14,6,20262112,53,universal,1,0.7854518572571083,0.8085188620971405,0.023067004840032213
ER(0.5),14,6,20262112,53,ceiling,3,0.8968753261263189,0.8968753261263189,0.0
ER(0.5),14,6,20262112,53,binned_exact,3,0.8168622756050321,0.8968753261263189,0.08001305052128682
ER(0.5),14,6,20262112,53,binned_sampled,3,0.8278542385308143,0.8968753261263189,0.06902108759550463
ER(0.5),14,6,20262112,53,transfer_1,3,0.8749987100899149,0.8968753261263189,0.021876616036404006
ER(0.5),14,6,20262112,53,transfer_2,3,0.8550021010618151,0.8968753261263189,0.04187322506450386
ER(0.5),14,6,20262112,53,transfer_3,3,0.8410416038429622,0.8968753261263189,0.0558337222833567
ER(0.5),14,6,20262112,53,universal,3,0.8010997520372635,0.8968753261263189,0.09577557408905546
ER(0.5),14,7,20262113,50,ceiling,1,0.8193277207521352,0.8193277207521352,0.0
ER(0.5),14,7,20262113,50,binned_exact,1,0.7839747469826441,0.8193277207521352,0.03535297376949109
ER(0.5),14,7,20262113,50,binned_sampled,1,0.7979260500110104,0.8193277207521352,0.021401670741124867
ER(0.5),14,7,20262113,50,transfer_1,1,0.8041761501393173,0.8193277207521352,0.01515157061281791
ER(0.5),14,7,20262113,50,transfer_2,1,0.7970824292417931,0.8193277207521352,0.022245291510342158
ER(0.5),14,7,20262113,50,transfer_3,1,0.8041761501393173,0.8193277207521352,0.01515157061281791
ER(0.5),14,7,20262113,50,universal,1,0.7970824292417931,0.8193277207521352,0.022245291510342158
ER(0.5),14,7,20262113,50,ceiling,3,0.9069249285077355,0.9069249285077355,0.0
ER(0.5),14,7,20262113,50,binned_exact,3,0.8311126253076889,0.9069249285077355,0.07581230320004662
ER(0.5),14,7,20262113,50,binned_sampled,3,0.8311126253076889,0.9069249285077355,0.07581230320004662
ER(0.5),14,7,20262113,50,transfer_1,3,0.8917641924980514,0.9069249285077355,0.01516073600968415
ER(0.5),14,7,20262113,50,transfer_2,3,0.8703646942262847,0.9069249285077355,0.03656023428145083
ER(0.5),14,7,20262113,50,transfer_3,3,0.8495416422230817,0.9069249285077355,0.057383286284653834
ER(0.5),14,7,20262113,50,universal,3,0.8106100340766895,0.9069249285077355,0.09631489443104602
ER(0.5),14,8,20262114,43,ceiling,1,0.8179481455077091,0.8179481455077091,0.0
ER(0.5),14,8,20262114,43,binned_exact,1,0.782077133039153,0.8179481455077091,0.03587101246855606
ER(0.5),14,8,20262114,43,binned_sampled,1,0.782077133039153,0.8179481455077091,0.03587101246855606
ER(0.5),14,8,20262114,43,transfer_1,1,0.813025207952774,0.8179481455077091,0.004922937554935114
ER(0.5),14,8,20262114,43,transfer_2,1,0.8079235137466257,0.8179481455077091,0.010024631761083369
ER(0.5),14,8,20262114,43,transfer_3,1,0.813025207952774,0.8179481455077091,0.004922937554935114
ER(0.5),14,8,20262114,43,universal,1,0.8079235137466257,0.8179481455077091,0.010024631761083369
ER(0.5),14,8,20262114,43,ceiling,3,0.9111014916376005,0.9111014916376005,0.0
ER(0.5),14,8,20262114,43,binned_exact,3,0.8257647525667284,0.9111014916376005,0.08533673907087203
ER(0.5),14,8,20262114,43,binned_sampled,3,0.8257647525667284,0.9111014916376005,0.08533673907087203
ER(0.5),14,8,20262114,43,transfer_1,3,0.9071347482024015,0.9111014916376005,0.003966743435198983
ER(0.5),14,8,20262114,43,transfer_2,3,0.8973244179444687,0.9111014916376005,0.013777073693131747
ER(0.5),14,8,20262114,43,transfer_3,3,0.887886925637177,0.9111014916376005,0.023214566000423487
ER(0.5),14,8,20262114,43,universal,3,0.8590755353895698,0.9111014916376005,0.052025956248030636
ER(0.5),14,9,20262115,40,ceiling,1,0.807805254303918,0.807805254303918,0.0
ER(0.5),14,9,20262115,40,binned_exact,1,0.7671418889767091,0.807805254303918,0.040663365327208933
ER(0.5),14,9,20262115,40,binned_sampled,1,0.7695089063380427,0.807805254303918,0.03829634796587533
ER(0.5),14,9,20262115,40,transfer_1,1,0.807805254303918,0.807805254303918,0.0
ER(0.5),14,9,20262115,40,transfer_2,1,0.8055456029714786,0.807805254303918,0.0022596513324394385
