family,n,instance,seed,m,ceil_p1,ar_paper_raw_p1,ar_paper_strict_p1,ar_paper_loose_p1,frac_sane_p1,ceil_p3,ar_paper_raw_p3,ar_paper_strict_p3,ar_paper_loose_p3,frac_sane_p3
ER(0.5),14,18,20272029,45,0.7979080656531403,0.7862976702053921,0.7846555853665383,0.7862976702053921,0.9825,0.8962567914053617,0.8301832838619806,0.8575285188243014,0.8301832838619806,0.810791015625
ER(0.5),14,19,20272030,44,0.850188607484086,0.840986442393901,0.8153127564184506,0.840986442393901,0.878125,0.9313756944808171,0.8515953304968062,0.8742081680377022,0.889644988445676,0.479248046875
ER(0.5),14,20,20272031,41,0.7980086911587189,0.7832031285262683,0.6985973358228311,0.776992883705175,0.585625,0.8795447875522806,0.8146273485724144,0.7095670470694231,0.6956262408230539,0.060302734375
ER(0.5),14,21,20272032,47,0.8262748586494073,0.5932800983916946,0.7109174160289096,0.5932800983916946,0.80625,0.9109694834374015,0.7318184005866191,0.7201873336208876,0.7318184005866191,0.95751953125
ER(0.5),14,22,20272033,41,0.7895140336522807,0.7784291657099528,0.7038343917160955,0.7683677739293562,0.585625,0.8862191082638153,0.8179282801434441,0.6911943828082623,0.6864534934882752,0.060302734375
ER(0.5),14,23,20272034,48,0.8162730339576314,0.5371536872879196,0.7303990905180756,0.5371536872879196,0.71125,0.9069232603144206,0.7253805361246526,0.7671296242447212,0.7170066054767659,0.8935546875
ER(0.5),14,24,20272035,42,0.8284122540042135,0.8229798199651162,0.7392922103582499,0.8154744464255361,0.64875,0.9122524941788765,0.8503190427672876,0.7490041109768505,0.7451594368951561,0.138916015625
ER(0.5),14,25,20272036,45,0.8417834912924869,0.831519152966336,0.8286905079788915,0.831519152966336,0.9825,0.9271477541120703,0.8646416202553878,0.8867319180376756,0.8646416202553878,0.810791015625
ER(0.5),14,26,20272037,46,0.810277448792847,0.779407155989058,0.779407155989058,0.779407155989058,0.9825,0.9141518275733791,0.719566203641903,0.719566203641903,0.719566203641903,1.0
ER(0.5),14,27,20272038,44,0.7857945162212768,0.7778961897460125,0.7625485234582652,0.7778961897460125,0.878125,0.8895482654661883,0.805423229501739,0.8404295408935282,0.8543807401082922,0.479248046875
ER(0.5),14,28,20272039,41,0.80176980297399,0.7882415901913957,0.7102766127478761,0.7829664760364603,0.585625,0.88975044903826,0.8219742558287273,0.7116353629921441,0.6999884909499231,0.060302734375
ER(0.5),14,29,20272040,46,0.8290720717518933,0.8010241393912141,0.8010241393912141,0.8010241393912141,0.9825,0.9106594815972855,0.741367061936937,0.741367061936937,0.741367061936937,1.0
ER(0.5),14,30,20272041,48,0.8178869755998799,0.5384111627593215,0.730439575745826,0.5384111627593215,0.71125,0.9096380342723623,0.725404155418687,0.7679111782295116,0.7172729332703911,0.8935546875
ER(0.25),12,1,20281812,15,0.7633254617586126,0.751355340145963,0.49705309979951856,0.5191800268584512,0.003125,0.8671899552473761,0.8315760774491218,0.5637056869829657,0.5637056869829657,0.0
ER(0.25),12,2,20281813,17,0.8008168503983236,0.7904782933504177,0.5229606069058378,0.603022735659532,0.026875,0.9029464111173743,0.8687561410883325,0.6001655078373285,0.6001655078373285,0.0
ER(0.25),12,3,20281814,15,0.7432304047517361,0.7392016679343134,0.5039356306138705,0.5214848821046669,0.003125,0.8886379860760607,0.8269003288405905,0.5315390295046137,0.5315390295046137,0.0
ER(0.25),12,4,20281815,9,0.7692668404573071,0.7623716355340758,0.2334758638511161,0.2334758638511161,0.0,0.8563054509262671,0.8273719029205957,0.4943515902018471,0.4943515902018471,0.0
ER(0.25),12,5,20281816,11,0.7936872184431911,0.7877439973053808,0.3119450317151292,0.3119450317151292,0.0,0.8795969622924542,0.8293840537613925,0.5467571021280767,0.5467571021280767,0.0
ER(0.25),12,6,20281817,19,0.776228141283609,0.7665981581845809,0.5098687119930434,0.5800404839873875,0.09625,0.8961425571965664,0.8507580843833328,0.5873978902317369,0.5873978902317369,0.0
ER(0.25),12,7,20281818,14,0.7538614468407902,0.7345162530204211,0.5610639239113421,0.5456725655042313,0.0,0.8685370680378588,0.818328421493829,0.5562464554990899,0.5562464554990899,0.0
ER(0.25),12,8,20281819,20,0.8162075572350613,0.8045251943320022,0.522016236337661,0.6228881896681442,0.12625,0.9256229181716064,0.8768360228595559,0.6173597924640926,0.6173597924640926,0.0
ER(0.25),12,9,20281820,18,0.7474859994280021,0.740152925272519,0.5174125725161142,0.5040633658708633,0.063125,0.8731202172922676,0.8254509142042903,0.5572153973525313,0.5572153973525313,0.0
ER(0.25),12,10,20281821,11,0.7539602516041647,0.7369960140389621,0.31464031369196394,0.31464031369196394,0.0,0.8961641035813337,0.8160358252318357,0.5295235456205801,0.5295235456205801,0.0
ER(0.25),12,11,20281822,22,0.8185528290435699,0.8038645932494785,0.5671884138074854,0.629844830911521,0.195625,0.9143462590694833,0.8493070692061316,0.644463566334084,0.644463566334084,0.0
