family,n,inst,m,p,ceiling,ar_emp,regret,argmax_disp,robust_frac,overlap
WS(k=4;b=0.5),12,1,24,3,0.935996,0.864934,0.071062,0.397697,0.00415,0.926339
WS(k=4;b=0.5),12,2,24,1,0.832221,0.803926,0.028295,0.090655,0.01375,0.969228
WS(k=4;b=0.5),12,2,24,3,0.914179,0.852497,0.061682,0.327327,0.004395,0.935709
WS(k=4;b=0.5),12,3,24,1,0.764643,0.730663,0.03398,0.09245,0.0125,0.961223
WS(k=4;b=0.5),12,3,24,3,0.875523,0.786405,0.089118,0.446071,0.006348,0.90889
WS(k=4;b=0.5),12,4,24,1,0.787335,0.761181,0.026155,0.090655,0.014375,0.966197
WS(k=4;b=0.5),12,4,24,3,0.875172,0.80904,0.066132,0.327327,0.005859,0.931607
WS(k=4;b=0.5),12,5,24,1,0.795132,0.765293,0.02984,0.09245,0.01375,0.961075
WS(k=4;b=0.5),12,5,24,3,0.906733,0.818349,0.088384,0.446071,0.005859,0.907143
WS(k=4;b=0.5),12,6,24,1,0.836743,0.806195,0.030547,0.090655,0.0125,0.971186
WS(k=4;b=0.5),12,6,24,3,0.915807,0.855979,0.059828,0.327327,0.004395,0.938983
WS(k=4;b=0.5),12,7,24,1,0.765067,0.73061,0.034457,0.09245,0.0125,0.961809
WS(k=4;b=0.5),12,7,24,3,0.882203,0.786886,0.095317,0.39123,0.004639,0.907326
WS(k=4;b=0.5),12,8,24,1,0.792171,0.76349,0.028681,0.090655,0.01375,0.967019
WS(k=4;b=0.5),12,8,24,3,0.883416,0.813428,0.069988,0.327327,0.006592,0.930429
WS(k=4;b=0.5),12,9,24,1,0.826582,0.795516,0.031067,0.09245,0.013125,0.973319
WS(k=4;b=0.5),12,9,24,3,0.911972,0.848004,0.063968,0.327327,0.005127,0.931902
WS(k=4;b=0.5),12,10,24,1,0.835704,0.805721,0.029984,0.090655,0.013125,0.966614
WS(k=4;b=0.5),12,10,24,3,0.927756,0.858347,0.06941,0.327327,0.005615,0.932776
WS(k=4;b=0.5),14,1,28,1,0.832776,0.799301,0.033475,0.09245,0.01375,0.968714
WS(k=4;b=0.5),14,1,28,3,0.915162,0.833309,0.081852,0.39123,0.005615,0.958726
WS(k=4;b=0.5),14,2,28,1,0.802868,0.765644,0.037224,0.097638,0.013125,0.963618
WS(k=4;b=0.5),14,2,28,3,0.902952,0.80342,0.099532,0.422577,0.008301,0.952393
WS(k=4;b=0.5),14,3,28,1,0.830932,0.798168,0.032765,0.09245,0.013125,0.970818
WS(k=4;b=0.5),14,3,28,3,0.914176,0.830647,0.083529,0.39123,0.004639,0.962011
WS(k=4;b=0.5),14,4,28,1,0.765045,0.731129,0.033916,0.097638,0.01375,0.96459
WS(k=4;b=0.5),14,4,28,3,0.866448,0.765913,0.100535,0.440315,0.005371,0.952186
WS(k=4;b=0.5),14,5,28,1,0.835396,0.800414,0.034983,0.09245,0.013125,0.967531
WS(k=4;b=0.5),14,5,28,3,0.919528,0.836077,0.083451,0.39123,0.006836,0.956955
WS(k=4;b=0.5),14,6,28,1,0.804495,0.772455,0.032041,0.09245,0.0125,0.956691
WS(k=4;b=0.5),14,6,28,3,0.899802,0.80479,0.095011,0.422577,0.00708,0.955329
WS(k=4;b=0.5),14,7,28,1,0.7207,0.684753,0.035947,0.110286,0.01375,0.95396
WS(k=4;b=0.5),14,7,28,3,0.844472,0.718081,0.126391,0.384655,0.003418,0.948795
WS(k=4;b=0.5),14,8,28,1,0.80262,0.771224,0.031396,0.09245,0.013125,0.960317
WS(k=4;b=0.5),14,8,28,3,0.890534,0.801823,0.088711,0.39123,0.006348,0.959022
WS(k=4;b=0.5),14,9,28,1,0.810909,0.774704,0.036206,0.09245,0.0125,0.95675
WS(k=4;b=0.5),14,9,28,3,0.914571,0.808851,0.10572,0.440315,0.006592,0.954495
WS(k=4;b=0.5),14,10,28,1,0.774663,0.740702,0.033961,0.09245,0.0125,0.954131
WS(k=4;b=0.5),14,10,28,3,0.878977,0.774142,0.104835,0.349927,0.007324,0.952545
3-regular,12,1,18,1,0.778747,0.729999,0.048749,0.11467,0.0125,0.954879
3-regular,12,1,18,3,0.923538,0.826031,0.097507,0.371154,0.001953,0.887918
3-regular,12,2,18,1,0.759324,0.72256,0.036765,0.110286,0.0125,0.963942
3-regular,12,2,18,3,0.857677,0.775717,0.08196,0.446071,0.00293,0.906484
3-regular,12,3,18,1,0.768335,0.726279,0.042055,0.110286,0.014375,0.95662
3-regular,12,3,18,3,0.890753,0.789071,0.101681,0.446071,0.002441,0.896095
3-regular,12,4,18,1,0.809946,0.77073,0.039216,0.110286,0.011875,0.962167
3-regular,12,4,18,3,0.902902,0.829792,0.07311,0.327327,0.004395,0.922607
3-regular,12,5,18,1,0.800487,0.766763,0.033724,0.09245,0.010625,0.960381
3-regular,12,5,18,3,0.889274,0.821948,0.067326,0.33503,0.005127,0.919488
3-regular,12,6,18,1,0.809946,0.781803,0.028143,0.09245,0.011875,0.948648
3-regular,12,6,18,3,0.898206,0.828502,0.069704,0.327327,0.005127,0.923383
3-regular,12,7,18,1,0.800487,0.766763,0.033724,0.09245,0.010625,0.962421
3-regular,12,7,18,3,0.884404,0.820698,0.063706,0.33503,0.005371,0.919313
3-regular,12,8,18,1,0.800487,0.766763,0.033724,0.09245,0.010625,0.962421
3-regular,12,8,18,3,0.884404,0.820698,0.063706,0.33503,0.005371,0.919313
3-regular,12,9,18,1,0.791514,0.762796,0.028718,0.09245,0.01375,0.96335
3-regular,12,9,18,3,0.877543,0.811982,0.065562,0.357143,0.006104,0.919728
3-regular,12,10,18,1,0.783211,0.758828,0.024383,0.090655,0.014375,0.959712
3-regular,12,10,18,3,0.874309,0.805503,0.068806,0.33503,0.005859,0.915501
3-regular,14,1,21,1,0.836595,0.794566,0.042029,0.110286,0.011875,0.961603
3-regular,14,1,21,3,0.920341,0.854032,0.066309,0.33503,0.003418,0.920219
3-regular,14,2,21,1,0.75612,0.714059,0.04206,0.110286,0.015,0.949066
3-regular,14,2,21,3,0.869413,0.775782,0.093631,0.434483,0.003174,0.8799
3-regular,14,3,21,1,0.782108,0.747117,0.034991,0.110286,0.01125,0.953794
3-regular,14,3,21,3,0.880845,0.782516,0.098328,0.416497,0.00415,0.943299
3-regular,14,4,21,1,0.790117,0.750423,0.039694,0.110286,0.0125,0.955745
3-regular,14,4,21,3,0.887711,0.788298,0.099412,0.416497,0.003906,0.943289
3-regular,14,5,21,1,0.828114,0.791065,0.037049,0.110286,0.010625,0.955347
3-regular,14,5,21,3,0.912329,0.82834,0.08399,0.397697,0.004883,0.94615
3-regular,14,6,21,1,0.805164,0.780563,0.0246,0.090655,0.013125,0.956215
3-regular,14,6,21,3,0.880618,0.810978,0.06964,0.303046,0.005127,0.950823
3-regular,14,7,21,1,0.75612,0.714059,0.04206,0.110286,0.015,0.950507
3-regular,14,7,21,3,0.869364,0.754562,0.114802,0.446071,0.002441,0.936277
3-regular,14,8,21,1,0.790117,0.750423,0.039694,0.110286,0.0125,0.953872
3-regular,14,8,21,3,0.88797,0.789038,0.098932,0.416497,0.003906,0.943741
3-regular,14,9,21,1,0.798126,0.753729,0.044397,0.110286,0.01375,0.956365
3-regular,14,9,21,3,0.898164,0.815422,0.082742,0.434483,0.003906,0.890674
3-regular,14,10,21,1,0.774513,0.743811,0.030702,0.09245,0.011875,0.954506
3-regular,14,10,21,3,0.864645,0.775922,0.088723,0.410326,0.004883,0.943261
