family,n,instance,seed,m,gamma,beta,S,eta_exact,eta_sampled,relerr_eta,median_relerr_lambda
ER(0.5),12,5,20271816,43,0.8,0.6,10,4.593061560742355,4.546797883777376,0.010072514019929993,0.04687351919745832
ER(0.5),12,5,20271816,43,0.8,0.6,25,4.593061560742355,4.657303374585067,0.013986708645883755,0.027109093793142903
ER(0.5),12,5,20271816,43,0.8,0.6,0,4.593061560742355,4.593061560742354,1.9337394196749523e-16,9.80934898282472e-16
ER(0.5),14,5,20272016,40,0.2,0.15,2,2.458469692581978,2.651597714444898,0.07855619389803815,0.2786968257423017
ER(0.5),14,5,20272016,40,0.2,0.15,5,2.458469692581978,2.330046785744967,0.05223692902316654,0.07837262184066622
ER(0.5),14,5,20272016,40,0.2,0.15,10,2.458469692581978,2.463140199673008,0.0018997619149515989,0.06444992778368956
ER(0.5),14,5,20272016,40,0.2,0.15,25,2.458469692581978,2.442493402908263,0.00649846923959274,0.03610253471536448
ER(0.5),14,5,20272016,40,0.4,0.3,2,4.0868717569833315,4.179132876690035,0.022574997502443066,0.11550787855079112
ER(0.5),14,5,20272016,40,0.4,0.3,5,4.0868717569833315,3.9422601164045417,0.03538443317475979,0.06739163378513234
ER(0.5),14,5,20272016,40,0.4,0.3,10,4.0868717569833315,4.035400438616558,0.012594307193227433,0.059528178875564344
ER(0.5),14,5,20272016,40,0.4,0.3,25,4.0868717569833315,4.091582930747676,0.0011527579147289145,0.03022422785663761
ER(0.5),14,5,20272016,40,0.8,0.6,2,5.048545836792418,5.247551437198331,0.03941840023628484,0.10438891653445105
ER(0.5),14,5,20272016,40,0.8,0.6,5,5.048545836792418,5.032019399255887,0.003273504504225974,0.08842745377900114
ER(0.5),14,5,20272016,40,0.8,0.6,10,5.048545836792418,5.064610241328393,0.003181986468044243,0.03750461110656651
ER(0.5),14,5,20272016,40,0.8,0.6,25,5.048545836792418,4.921257988570015,0.025212774596352953,0.03397945952483691
ER(0.5),12,6,20271817,38,0.2,0.15,2,2.0582987020752723,2.1857791661079924,0.06193487072803784,0.2640509205269716
ER(0.5),12,6,20271817,38,0.2,0.15,5,2.0582987020752723,2.1705605463774553,0.054541084920762664,0.09669360820797972
ER(0.5),12,6,20271817,38,0.2,0.15,10,2.0582987020752723,2.0447009567055234,0.006606303232878209,0.07159730310891677
ER(0.5),12,6,20271817,38,0.2,0.15,25,2.0582987020752723,2.0589466040510063,0.0003147754867069097,0.04600265184101271
ER(0.5),12,6,20271817,38,0.2,0.15,0,2.0582987020752723,2.0582987020752714,4.315109458139494e-16,1.127142105156147e-15
ER(0.5),12,6,20271817,38,0.4,0.3,2,3.518779576109938,3.749044360946742,0.06543882043653473,0.12489413312114021
ER(0.5),12,6,20271817,38,0.4,0.3,5,3.518779576109938,3.577773609592811,0.016765481385478512,0.06796278896145094
ER(0.5),12,6,20271817,38,0.4,0.3,10,3.518779576109938,3.311933548644131,0.05878345687526081,0.055178919253131925
ER(0.5),12,6,20271817,38,0.4,0.3,25,3.518779576109938,3.543232258332042,0.006949194086529591,0.02962787456821029
ER(0.5),12,6,20271817,38,0.4,0.3,0,3.518779576109938,3.518779576109941,8.834382494589411e-16,1.0606104147218591e-15
ER(0.5),12,6,20271817,38,0.8,0.6,2,4.503894160068395,4.708520931840061,0.045433299384761504,0.08507738127201506
ER(0.5),12,6,20271817,38,0.8,0.6,5,4.503894160068395,4.377670048963282,0.028025550028288503,0.08115985771222448
ER(0.5),12,6,20271817,38,0.8,0.6,10,4.503894160068395,4.277144044175629,0.050345347344779134,0.05990069191489934
ER(0.5),12,6,20271817,38,0.8,0.6,25,4.503894160068395,4.6903413168280705,0.04139687793126213,0.04145420544598755
ER(0.5),12,6,20271817,38,0.8,0.6,0,4.503894160068395,4.503894160068397,3.944046587838279e-16,1.364349312804777e-15
ER(0.5),14,6,20272017,52,0.2,0.15,2,2.5289203387894266,2.6314396614201305,0.04053877105507369,0.13873026965939297
ER(0.5),14,6,20272017,52,0.2,0.15,5,2.5289203387894266,2.700591876767273,0.06788333161179146,0.09570962798407848
ER(0.5),14,6,20272017,52,0.2,0.15,10,2.5289203387894266,2.4936651391144182,0.013940810682824718,0.06838285833955866
ER(0.5),14,6,20272017,52,0.2,0.15,25,2.5289203387894266,2.582920768334931,0.0213531556202968,0.03154413555406597
ER(0.5),14,6,20272017,52,0.4,0.3,2,4.189229922568529,4.168049834648421,0.005055842794878577,0.1083867526137636
ER(0.5),14,6,20272017,52,0.4,0.3,5,4.189229922568529,4.405854362220446,0.05170984731224749,0.08089562240147914
ER(0.5),14,6,20272017,52,0.4,0.3,10,4.189229922568529,4.140760445308284,0.01157002078093806,0.046627394657622515
ER(0.5),14,6,20272017,52,0.4,0.3,25,4.189229922568529,4.177458981789884,0.002809810155139064,0.0317303997539813
ER(0.5),14,6,20272017,52,0.8,0.6,2,5.132418084903112,4.854161386440109,0.05421551671355232,0.10705569012935483
ER(0.5),14,6,20272017,52,0.8,0.6,5,5.132418084903112,5.158889969623991,0.005157780267111523,0.04950201027220231
ER(0.5),14,6,20272017,52,0.8,0.6,10,5.132418084903112,5.26904142078433,0.026619681721388302,0.03626485690129309
ER(0.5),14,6,20272017,52,0.8,0.6,25,5.132418084903112,5.183386728292856,0.009930727104961958,0.024131257883449306
ER(0.5),12,7,20271818,33,0.2,0.15,2,2.0496653144649315,2.0731570112164306,0.011461235444495795,0.16892316853235942
ER(0.5),12,7,20271818,33,0.2,0.15,5,2.0496653144649315,1.9548128921722339,0.04627702953418959,0.07745737704234414
ER(0.5),12,7,20271818,33,0.2,0.15,10,2.0496653144649315,2.0995974690473527,0.024361125804315053,0.07444176482419154
ER(0.5),12,7,20271818,33,0.2,0.15,25,2.0496653144649315,2.0786801621652784,0.014155895353052445,0.048022691402024135
ER(0.5),12,7,20271818,33,0.2,0.15,0,2.0496653144649315,2.0496653144649324,4.3332851145602064e-16,1.547165309585951e-15
ER(0.5),12,7,20271818,33,0.4,0.3,2,3.4886483152990007,3.4699415390276354,0.005362184600072537,0.11547105096367084
ER(0.5),12,7,20271818,33,0.4,0.3,5,3.4886483152990007,3.6629602370991714,0.049965461131679316,0.05628390909225679
ER(0.5),12,7,20271818,33,0.4,0.3,10,3.4886483152990007,3.508225715362772,0.005611743659547834,0.0686175634765317
ER(0.5),12,7,20271818,33,0.4,0.3,25,3.4886483152990007,3.4475786575271146,0.011772369714591351,0.021837394314065273
ER(0.5),12,7,20271818,33,0.4,0.3,0,3.4886483152990007,3.488648315299002,3.8188648127921243e-16,8.869850106006719e-16
ER(0.5),12,7,20271818,33,0.8,0.6,2,4.424989996881434,4.357998017916058,0.015139464498810061,0.08173797633632884
ER(0.5),12,7,20271818,33,0.8,0.6,5,4.424989996881434,4.430085673053913,0.001151567839943138,0.058770560548472885
ER(0.5),12,7,20271818,33,0.8,0.6,10,4.424989996881434,4.469953873100438,0.010161350929763018,0.03184729810650018
ER(0.5),12,7,20271818,33,0.8,0.6,25,4.424989996881434,4.390889981739563,0.007706235531809955,0.026878070168159497
ER(0.5),12,7,20271818,33,0.8,0.6,0,4.424989996881434,4.424989996881443,2.0071874068101394e-15,1.3452302945191413e-15
ER(0.5),14,7,20272018,50,0.2,0.15,2,2.563798046449034,2.5971608531584547,0.013013040069840661,0.17844843923211956
