family,n,instance,seed,m,c_opt,ar_uniform,ar_balanced,ar_ceiling_p1,ar_proxy_p1,gamma_p1,beta_p1,ar_ceiling_p3,ar_proxy_p3,g1,gf,b1,bf
ER(0.25),14,10,20282021,22,19.0,0.5789473684210527,0.6234817813765182,0.7587223744972146,0.723653405284964,0.6444292622748293,0.32221463113741466,0.8711163397266019,0.7724226460132738,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,11,20282022,24,18.0,0.6666666666666666,0.717948717948718,0.8114138846767143,0.7891393383538836,0.5638756044904757,0.28193780224523785,0.8948110957158958,0.8363365798179392,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,12,20282023,21,17.0,0.6176470588235294,0.6651583710407241,0.7910383490973726,0.7612216903818645,0.6444292622748293,0.32221463113741466,0.8864787116138544,0.8046184541020679,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,13,20282024,18,15.0,0.6,0.6461538461538461,0.8148035476800288,0.7825600944922642,0.8055365778435367,0.32221463113741466,0.9092009785444956,0.8323741513109019,0.4928571428571429,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,14,20282025,20,17.0,0.5882352941176471,0.6334841628959277,0.775506052818805,0.734652561413964,0.6444292622748293,0.32221463113741466,0.8738813223527024,0.7815756923516674,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,15,20282026,27,22.0,0.6136363636363636,0.6608391608391608,0.7911158467839705,0.7503298488939218,0.5638756044904757,0.32221463113741466,0.8869691101620887,0.8091180103896072,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,16,20282027,18,16.0,0.5625,0.6057692307692307,0.7662810322363525,0.7233574831497731,0.7249829200591831,0.32221463113741466,0.8775029262282559,0.7850868679697642,0.4928571428571429,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,17,20282028,25,20.0,0.625,0.6730769230769231,0.8054879545020768,0.7637567327591296,0.5638756044904757,0.32221463113741466,0.9164506420791984,0.8246551608745541,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,18,20282029,18,16.0,0.5625,0.6057692307692307,0.7714573460213825,0.7261919575702884,0.7249829200591831,0.32221463113741466,0.8812073944935332,0.7902712175391466,0.7142857142857143,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,19,20282030,24,20.0,0.6,0.6461538461538462,0.7801398830574959,0.7478638566026742,0.6444292622748293,0.32221463113741466,0.8830530017939646,0.795263473740196,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,20,20282031,26,20.0,0.65,0.7,0.8172061613224939,0.7846151515949468,0.5638756044904757,0.32221463113741466,0.8959769271934203,0.8355990573499135,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,21,20282032,20,19.0,0.5263157894736842,0.5668016194331984,0.7089759179614354,0.6648376507412843,0.6444292622748293,0.32221463113741466,0.8437982370771806,0.7162556984006642,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,22,20282033,24,19.0,0.631578947368421,0.680161943319838,0.8094831974265501,0.7711923307322001,0.5638756044904757,0.32221463113741466,0.9250816267459105,0.8308908215096862,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,23,20282034,18,16.0,0.5625,0.6057692307692307,0.7574565161751551,0.7203506956912078,0.7249829200591831,0.32221463113741466,0.8845299512580533,0.7815897360793431,0.7142857142857143,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,24,20282035,26,21.0,0.6190476190476191,0.6666666666666666,0.8015942332826318,0.7579793183935989,0.5638756044904757,0.32221463113741466,0.898937583710478,0.8157507587047215,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,25,20282036,22,18.0,0.6111111111111112,0.6581196581196581,0.7665099199042766,0.7384512392839278,0.5638756044904757,0.32221463113741466,0.8748357419260941,0.7913026973168238,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,26,20282037,21,18.0,0.5833333333333334,0.6282051282051282,0.779125230565207,0.7342289901779032,0.6444292622748293,0.32221463113741466,0.8926398272434564,0.7861055820134535,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,27,20282038,22,19.0,0.5789473684210527,0.6234817813765182,0.7703402909227876,0.7278950404825593,0.6444292622748293,0.32221463113741466,0.8681251249669613,0.778806153545735,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,28,20282039,31,24.0,0.6458333333333334,0.6955128205128206,0.7960529957943668,0.7632570654940233,0.483321946706122,0.32221463113741466,0.889268313272887,0.8035562916317488,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,29,20282040,20,17.0,0.5882352941176471,0.6334841628959277,0.7746392021282071,0.7466200261371886,0.7249829200591831,0.32221463113741466,0.8723113019703492,0.7800369107138171,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,30,20282041,19,17.0,0.5588235294117647,0.6018099547511312,0.7503931185978867,0.7154518562066728,0.7249829200591831,0.32221463113741466,0.8598524165991387,0.7537162391546722,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,1,20291812,20,17.0,0.5882352941176471,0.641711229946524,0.7554036783908936,0.7274303694995685,0.6444292622748293,0.32221463113741466,0.8681106729087494,0.773724080704144,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,2,20291813,20,15.0,0.6666666666666666,0.7272727272727272,0.8520181839456353,0.8236339278973631,0.6444292622748293,0.32221463113741466,0.9270552008057835,0.8661509011194956,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,3,20291814,20,15.0,0.6666666666666666,0.7272727272727272,0.8458511257869368,0.8197576176742987,0.6444292622748293,0.32221463113741466,0.9360655515788486,0.8659315237873383,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,4,20291815,20,15.0,0.6666666666666666,0.7272727272727272,0.8452117861939167,0.8181182565289166,0.6444292622748293,0.32221463113741466,0.9323231337101671,0.86489714305271,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,5,20291816,20,17.0,0.5882352941176471,0.641711229946524,0.7540215045091953,0.7272035645477254,0.6444292622748293,0.32221463113741466,0.8651650298693871,0.7809358891131768,0.2714285714285714,0.7142857142857143,0.4785714285714286,0.05
BA(k=2),12,6,20291817,20,17.0,0.5882352941176471,0.641711229946524,0.7654770406945841,0.73327454293384,0.6444292622748293,0.32221463113741466,0.8779138449058124,0.7790200258502118,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,7,20291818,20,15.0,0.6666666666666666,0.7272727272727272,0.8372160244161473,0.8143996827296515,0.6444292622748293,0.32221463113741466,0.9203710788109223,0.8579015602347408,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,8,20291819,20,17.0,0.5882352941176471,0.641711229946524,0.7413666677394659,0.709193177208407,0.5638756044904757,0.32221463113741466,0.8532631519952822,0.7594050682674687,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,9,20291820,20,16.0,0.625,0.6818181818181818,0.7850873426187575,0.7631854952313484,0.6444292622748293,0.32221463113741466,0.8712113467897167,0.8054228052801563,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,10,20291821,20,17.0,0.5882352941176471,0.641711229946524,0.7601335290854132,0.7298150979399297,0.6444292622748293,0.32221463113741466,0.8631346818240334,0.7735996148911597,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,11,20291822,20,16.0,0.625,0.6818181818181818,0.7912297825848025,0.7666343531074822,0.6444292622748293,0.32221463113741466,0.8892868470243307,0.8117984562789884,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,12,20291823,20,17.0,0.5882352941176471,0.641711229946524,0.7544198975117424,0.7261629642119627,0.6444292622748293,0.32221463113741466,0.8564560212667272,0.7686190894396606,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,13,20291824,20,15.0,0.6666666666666666,0.7272727272727272,0.8488607960290409,0.8216793963101312,0.6444292622748293,0.32221463113741466,0.9458212164312645,0.8671382082507473,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,14,20291825,20,16.0,0.625,0.6818181818181818,0.8018002353029288,0.7713151979296549,0.6444292622748293,0.32221463113741466,0.8943313573268938,0.817720066882787,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,15,20291826,20,16.0,0.625,0.6818181818181818,0.8146324333973225,0.7788529704666806,0.6444292622748293,0.32221463113741466,0.8994016161408588,0.8250615439565148,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,16,20291827,20,16.0,0.625,0.6818181818181818,0.8050808713447742,0.7738202845418329,0.6444292622748293,0.32221463113741466,0.9141659210964801,0.8222810984980615,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,17,20291828,20,16.0,0.625,0.6818181818181818,0.8019519908855199,0.77257805370795,0.6444292622748293,0.32221463113741466,0.9062946643967271,0.8386565933770901,0.05,0.7142857142857143,0.37142857142857144,0.15714285714285714
BA(k=2),12,18,20291829,20,18.0,0.5555555555555556,0.606060606060606,0.7153977693635301,0.687558698594644,0.6444292622748293,0.32221463113741466,0.8512317704827235,0.7331575202373908,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,19,20291830,20,17.0,0.5882352941176471,0.641711229946524,0.7770631534974233,0.7374722724825782,0.6444292622748293,0.32221463113741466,0.8940349389212898,0.7913908823811617,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,20,20291831,20,16.0,0.625,0.6818181818181818,0.8051611337375453,0.7745941112924457,0.6444292622748293,0.32221463113741466,0.892898076987255,0.8182617577968899,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,21,20291832,20,17.0,0.5882352941176471,0.641711229946524,0.7622267628283369,0.7308416033321087,0.6444292622748293,0.32221463113741466,0.8598905634617011,0.777109063974537,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,22,20291833,20,17.0,0.5882352941176471,0.641711229946524,0.7519484817209043,0.7248272113476595,0.6444292622748293,0.32221463113741466,0.857969608470094,0.7674023675653275,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,23,20291834,20,16.0,0.625,0.6818181818181818,0.811596297226683,0.7778197852943858,0.6444292622748293,0.32221463113741466,0.9068605498086333,0.8256010750095565,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,24,20291835,20,17.0,0.5882352941176471,0.641711229946524,0.7553654872108355,0.7272364580434143,0.6444292622748293,0.32221463113741466,0.8680697672471341,0.7694929119290765,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,25,20291836,20,17.0,0.5882352941176471,0.641711229946524,0.7721593617245346,0.7352207116691976,0.6444292622748293,0.32221463113741466,0.8798390544219682,0.7854989714301615,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,26,20291837,20,16.0,0.625,0.6818181818181818,0.7793930874198348,0.7558812098913625,0.6444292622748293,0.28193780224523785,0.8629393471241849,0.7988908188898681,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,27,20291838,20,18.0,0.5555555555555556,0.606060606060606,0.7352037999679837,0.6970803535261899,0.6444292622748293,0.32221463113741466,0.8654134471005803,0.7485297200752693,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),12,28,20291839,20,17.0,0.5882352941176471,0.641711229946524,0.7542825929686673,0.7160691515661699,0.5638756044904757,0.32221463113741466,0.8971605352103164,0.7811055145264928,0.2714285714285714,0.7142857142857143,0.4785714285714286,0.05
BA(k=2),12,29,20291840,20,15.0,0.6666666666666666,0.7272727272727272,0.8367603462373261,0.808835439856946,0.6444292622748293,0.28193780224523785,0.9353445963803632,0.8594406004075783,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),12,30,20291841,20,16.0,0.625,0.6818181818181818,0.8078381247560663,0.7762293087184513,0.6444292622748293,0.32221463113741466,0.9098199758142005,0.8202719967772291,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),14,1,20292012,24,20.0,0.6,0.6461538461538462,0.7747305186379442,0.7330417849580636,0.5638756044904757,0.32221463113741466,0.8785644109031022,0.7912742240451651,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),14,2,20292013,24,20.0,0.6,0.6461538461538462,0.7608006473475826,0.726943396954279,0.5638756044904757,0.32221463113741466,0.8682620925069404,0.7899819197499901,0.2714285714285714,0.7142857142857143,0.4785714285714286,0.05
BA(k=2),14,3,20292014,24,19.0,0.631578947368421,0.680161943319838,0.8037161609632646,0.7659790485069732,0.5638756044904757,0.32221463113741466,0.8908102778347229,0.820191352968416,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),14,4,20292015,24,19.0,0.631578947368421,0.680161943319838,0.803382790245896,0.7658354991640102,0.5638756044904757,0.32221463113741466,0.8952901164280254,0.8200840061616295,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),14,5,20292016,24,19.0,0.631578947368421,0.680161943319838,0.8171842408704838,0.7718421264271157,0.5638756044904757,0.32221463113741466,0.9167197022997023,0.8338688124417778,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),14,6,20292017,24,21.0,0.5714285714285714,0.6153846153846154,0.7346726044632894,0.6965003585965124,0.5638756044904757,0.32221463113741466,0.8395050611495798,0.7498992479507616,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),14,7,20292018,24,20.0,0.6,0.6461538461538462,0.7736946140125314,0.7312891746271468,0.5638756044904757,0.32221463113741466,0.8803026778236427,0.7900424479684238,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
BA(k=2),14,8,20292019,24,19.0,0.631578947368421,0.680161943319838,0.8029072184448939,0.7662547599587202,0.5638756044904757,0.32221463113741466,0.8933694382408652,0.8202550696869055,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
BA(k=2),14,9,20292020,24,20.0,0.6,0.6461538461538462,0.7761514958852171,0.7329139330629028,0.5638756044904757,0.32221463113741466,0.8669933378604263,0.7915291734516788,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
