family,n,inst,p,ceiling,kind,regret_raw,regret_norm
ER(0.5),14,4,3,0.908402,samp10,0.093912,0.011784
ER(0.5),14,4,3,0.908402,poly,0.268606,0.024382
ER(0.5),14,5,1,0.752189,exact,0.035023,0.033651
ER(0.5),14,5,1,0.752189,samp10,0.019698,0.014926
ER(0.5),14,5,1,0.752189,poly,0.173379,0.000809
ER(0.5),14,5,3,0.869438,exact,0.125851,0.033171
ER(0.5),14,5,3,0.869438,samp10,0.076015,0.05012
ER(0.5),14,5,3,0.869438,poly,0.279009,0.047239
ER(0.25),14,1,1,0.795779,exact,0.033938,0.030491
ER(0.25),14,1,1,0.795779,samp10,0.045475,0.010488
ER(0.25),14,1,1,0.795779,poly,0.188011,0.005406
ER(0.25),14,1,3,0.889005,exact,0.084219,0.028406
ER(0.25),14,1,3,0.889005,samp10,0.06065,0.022244
ER(0.25),14,1,3,0.889005,poly,0.391889,0.040481
ER(0.25),14,2,1,0.763864,exact,0.033551,0.067287
ER(0.25),14,2,1,0.763864,samp10,0.007893,0.020481
ER(0.25),14,2,1,0.763864,poly,0.163769,0.019043
ER(0.25),14,2,3,0.875046,exact,0.090061,0.070009
ER(0.25),14,2,3,0.875046,samp10,0.039427,0.035898
ER(0.25),14,2,3,0.875046,poly,0.330656,0.059036
ER(0.25),14,3,1,0.752542,exact,0.046436,0.061929
ER(0.25),14,3,1,0.752542,samp10,0.032233,0.01497
ER(0.25),14,3,1,0.752542,poly,0.249822,0.007998
ER(0.25),14,3,3,0.875442,exact,0.107633,0.094194
ER(0.25),14,3,3,0.875442,samp10,0.109785,0.03314
ER(0.25),14,3,3,0.875442,poly,0.335378,0.038279
ER(0.25),14,4,1,0.763323,exact,0.040488,0.080925
ER(0.25),14,4,1,0.763323,samp10,0.024927,0.015139
ER(0.25),14,4,1,0.763323,poly,0.195032,0.004064
ER(0.25),14,4,3,0.871641,exact,0.098524,0.047471
ER(0.25),14,4,3,0.871641,samp10,0.063626,0.060814
ER(0.25),14,4,3,0.871641,poly,0.287607,0.045521
ER(0.25),14,5,1,0.810156,exact,0.032176,0.061245
ER(0.25),14,5,1,0.810156,samp10,0.022393,0.037824
ER(0.25),14,5,1,0.810156,poly,0.159109,0.009096
ER(0.25),14,5,3,0.914332,exact,0.098593,0.031845
ER(0.25),14,5,3,0.914332,samp10,0.076757,0.009505
ER(0.25),14,5,3,0.914332,poly,0.300226,0.022901
BA(k=2),14,1,1,0.774731,exact,0.041689,0.084835
BA(k=2),14,1,1,0.774731,samp10,0.02995,0.044362
BA(k=2),14,1,1,0.774731,poly,0.147494,0.002334
BA(k=2),14,1,3,0.878564,exact,0.08729,0.052179
BA(k=2),14,1,3,0.878564,samp10,0.073269,0.029306
BA(k=2),14,1,3,0.878564,poly,0.270993,0.027311
BA(k=2),14,2,1,0.760801,exact,0.033857,0.03126
BA(k=2),14,2,1,0.760801,samp10,0.031284,0.026923
BA(k=2),14,2,1,0.760801,poly,0.183,0.015642
BA(k=2),14,2,3,0.868262,exact,0.07828,0.102222
BA(k=2),14,2,3,0.868262,samp10,0.051675,0.051293
BA(k=2),14,2,3,0.868262,poly,0.258771,0.046609
BA(k=2),14,3,1,0.803716,exact,0.037737,0.04382
BA(k=2),14,3,1,0.803716,samp10,0.024775,0.023161
BA(k=2),14,3,1,0.803716,poly,0.172137,0.001804
BA(k=2),14,3,3,0.89081,exact,0.070619,0.02974
BA(k=2),14,3,3,0.89081,samp10,0.038608,0.025055
