family,n,instance,seed,m,ramp,layer,leakage,cum_leakage,distance,overlap,compressed_norm
ER(0.25),18,9,20282420,42,small,17,0.09365007013345013,0.7376310403977266,0.14157972010042247,0.9699635550747621,0.9796367915968249
ER(0.25),18,9,20282420,42,small,18,0.09534680280919337,0.8329778432069201,0.16564261896942745,0.9618967776145277,0.9749857592007102
ER(0.25),18,9,20282420,42,small,19,0.09110552465222874,0.9240833678591489,0.16529380381108552,0.9580620981912178,0.9707198432204973
ER(0.25),18,9,20282420,42,small,20,0.08886336991256731,1.012946737771716,0.16324484679144896,0.9546109181622052,0.966643841086161
ER(0.25),18,9,20282420,42,small,21,0.09457664870749871,1.1075233864792149,0.19163825885557892,0.945301277378684,0.9620060150690685
ER(0.25),18,9,20282420,42,small,22,0.10789897881725473,1.2154223652964695,0.2318025041909922,0.9316600303143371,0.9559358678275779
ER(0.25),18,9,20282420,42,small,23,0.12460561286459079,1.3400279781610602,0.25507908028377174,0.9197429092152017,0.9477799452625624
ER(0.25),18,9,20282420,42,small,24,0.14112675617572348,1.4811547343367837,0.26971628972782663,0.9081064708844273,0.9372139901501798
ER(0.25),18,9,20282420,42,small,25,0.1557236981246287,1.6368784324614123,0.3048908820941998,0.8886270557153795,0.924186232950701
ER(0.25),18,9,20282420,42,small,26,0.1679010701566798,1.8047795026180922,0.3671078029859998,0.857960487950399,0.9088065931846281
ER(0.25),18,9,20282420,42,small,27,0.17766983300770037,1.9824493356257926,0.4385726188852944,0.8209327333641874,0.8912703597982305
ER(0.25),18,9,20282420,42,small,28,0.1850354751481743,2.167484810773967,0.5063044064069641,0.7835818470648804,0.8718513217238116
ER(0.25),18,9,20282420,42,small,29,0.1897408701365444,2.357225680910511,0.5708306572496824,0.7467094446611425,0.8509542463560444
ER(0.25),18,9,20282420,42,small,30,0.19123357100685942,2.5484592519173708,0.6365656091957171,0.708697803302352,0.8291880671544599
BA(k=2),18,9,20292420,32,small,1,0.011691392198801099,0.011691392198801099,0.011691392198801099,0.9998633113484786,0.9999316533385961
BA(k=2),18,9,20292420,32,small,2,0.027862804982875848,0.03955419718167695,0.036274658977843474,0.9988855726854663,0.9995433834741468
BA(k=2),18,9,20292420,32,small,3,0.024125472516582112,0.06367966969825906,0.05323195855423208,0.9978357973721874,0.9992521889006786
BA(k=2),18,9,20292420,32,small,4,0.007438612918134187,0.07111828261639325,0.058040684531350126,0.9975406035762293,0.9992245013312309
BA(k=2),18,9,20292420,32,small,5,0.018336237523876173,0.08945452014026942,0.06706179259775542,0.9968080512360217,0.9990562478930386
BA(k=2),18,9,20292420,32,small,6,0.03252375536143998,0.1219782755017094,0.09036632763942246,0.9944447605503763,0.9985267106048302
BA(k=2),18,9,20292420,32,small,7,0.03580168617265334,0.15777996167436276,0.10932539472411792,0.991912126890617,0.9978846782361649
BA(k=2),18,9,20292420,32,small,8,0.02194740187008332,0.17972736354444607,0.11381744292258072,0.9911727049949962,0.9976432942738812
BA(k=2),18,9,20292420,32,small,9,0.007016020991549911,0.18674338453599598,0.1138606789397373,0.9911422225711785,0.9976186235526517
BA(k=2),18,9,20292420,32,small,10,0.03273093955935736,0.21947432409535333,0.12124647693377766,0.9897374768055213,0.9970815431320782
BA(k=2),18,9,20292420,32,small,11,0.049686211248014533,0.26916053534336787,0.13049317072225552,0.9873416856810222,0.9958428008809758
BA(k=2),18,9,20292420,32,small,12,0.052323745369012575,0.32148428071238044,0.13546783514352354,0.9853152720628849,0.9944672492028214
BA(k=2),18,9,20292420,32,small,13,0.04148821230720331,0.36297249301958373,0.14199036361018716,0.9835504096916234,0.9936014482560808
BA(k=2),18,9,20292420,32,small,14,0.026569093765499825,0.38954158678508355,0.15043682334603029,0.981965139844752,0.9932461533945439
BA(k=2),18,9,20292420,32,small,15,0.0336149557404466,0.42315654252553014,0.14783201446930477,0.9818026743642101,0.9926771660432325
BA(k=2),18,9,20292420,32,small,16,0.05594305678834138,0.4790995993138715,0.12853880084847644,0.9829272794223269,0.9910995562408436
BA(k=2),18,9,20292420,32,small,17,0.07416131129955118,0.5532609106134228,0.11048916558667775,0.9823536138032726,0.9883210158076835
BA(k=2),18,9,20292420,32,small,18,0.0833166862045246,0.6365775968179473,0.11924244561635786,0.9779065810093456,0.9848029041828771
BA(k=2),18,9,20292420,32,small,19,0.08422439783912458,0.720801994657072,0.14095152914647913,0.9716126175393418,0.9811946855215161
BA(k=2),18,9,20292420,32,small,20,0.08099915116608894,0.8018011458231609,0.15320123177534964,0.9666577963071139,0.9778456669669515
BA(k=2),18,9,20292420,32,small,21,0.07947901086672708,0.8812801566898879,0.16144197070623398,0.9623290511740223,0.9746102991645881
BA(k=2),18,9,20292420,32,small,22,0.0843384312806269,0.9656185879705148,0.18405686841762073,0.9550204895002562,0.9709543059520412
BA(k=2),18,9,20292420,32,small,23,0.0959243648128617,1.0615429527833766,0.22116730271602372,0.9432911763524449,0.9662043161164531
BA(k=2),18,9,20292420,32,small,24,0.1112549946933194,1.172797947476696,0.2567016556992126,0.9295887989375198,0.9597776339537455
BA(k=2),18,9,20292420,32,small,25,0.12722340877907828,1.3000213562557743,0.28358094451770655,0.9161127015201692,0.9513082102539009
BA(k=2),18,9,20292420,32,small,26,0.14186182621670404,1.4418831824724783,0.3104589768881033,0.9009787660422705,0.9406713204722161
BA(k=2),18,9,20292420,32,small,27,0.15414768046204286,1.5960308629345212,0.3490208947146389,0.88064677331975,0.9279552929786635
BA(k=2),18,9,20292420,32,small,28,0.16355062442796017,1.7595814873624813,0.40000005044696246,0.8546911425107824,0.9134288253697397
BA(k=2),18,9,20292420,32,small,29,0.16970261637987413,1.9292841037423554,0.45524312500196407,0.8265780635560159,0.8975261784539585
BA(k=2),18,9,20292420,32,small,30,0.17225405088533732,2.1015381546276926,0.5077931621568882,0.800309840508434,0.8808415197773997
BA(k=4),18,9,20302420,56,small,1,0.023211545110764318,0.023211545110764318,0.023211545110764318,0.9994612241735669,0.9997305757920838
BA(k=4),18,9,20302420,56,small,2,0.05145950813601211,0.07467105324677643,0.06689713747219599,0.9961690971564412,0.9984053000640413
BA(k=4),18,9,20302420,56,small,3,0.03887580492725802,0.11354685817403445,0.09105104444858592,0.9935071999384237,0.9976481418752955
BA(k=4),18,9,20302420,56,small,4,0.012491856849081997,0.12603871502311645,0.09749071129923935,0.992821649809046,0.9975699316337114
BA(k=4),18,9,20302420,56,small,5,0.03911749096165015,0.1651562059847666,0.11966687311522169,0.989647721177569,0.9968026837847851
BA(k=4),18,9,20302420,56,small,6,0.05803731304325497,0.22319351902802156,0.15263219464002867,0.9834772932216951,0.9951116825237607
BA(k=4),18,9,20302420,56,small,7,0.05024231252958794,0.27343583155760953,0.16457980537483324,0.9803328479050795,0.9938425281335845
BA(k=4),18,9,20302420,56,small,8,0.015593273099822306,0.2890291046574318,0.16324525731292275,0.9804312753228962,0.9937201922880445
BA(k=4),18,9,20302420,56,small,9,0.03586153875014878,0.3248906434075806,0.1678739393251207,0.9790218313170048,0.9930728928932943
BA(k=4),18,9,20302420,56,small,10,0.06840102263213609,0.3932916660397167,0.16382334625348924,0.9773721855174086,0.9907144243939997
BA(k=4),18,9,20302420,56,small,11,0.075852987347752,0.46914465338746875,0.1492318667282415,0.9767825146455154,0.9878063550173968
BA(k=4),18,9,20302420,56,small,12,0.059425795101712614,0.5285704484891813,0.15850561507515717,0.973571029213997,0.9860172259597133
BA(k=4),18,9,20302420,56,small,13,0.03898137484715218,0.5675518233363335,0.17751461050750378,0.9696307852554654,0.985246376448205
BA(k=4),18,9,20302420,56,small,14,0.054363727263299806,0.6219155505996333,0.16079399813751413,0.9710336361285635,0.9837453976829376
BA(k=4),18,9,20302420,56,small,15,0.0833538891233543,0.7052694397229876,0.12937645689198252,0.972136537013411,0.9802077007605938
BA(k=4),18,9,20302420,56,small,16,0.10033030719227022,0.8055997469152578,0.14862758810918958,0.9644495148311136,0.9750594679757082
BA(k=4),18,9,20302420,56,small,17,0.10205296293794004,0.9076527098531979,0.17986879600781644,0.954293379411783,0.9697041604761031
BA(k=4),18,9,20302420,56,small,18,0.0951063647533007,1.0027590746064987,0.17399645011234405,0.9510876927512303,0.9650289831026189
BA(k=4),18,9,20302420,56,small,19,0.09095316251639367,1.0937122371228925,0.1681176588349871,0.94805513810686,0.9607332930924904
BA(k=4),18,9,20302420,56,small,20,0.09789202334844864,1.191604260471341,0.20299592295210486,0.9369751944653232,0.9557330235066103
BA(k=4),18,9,20302420,56,small,21,0.1136219420364903,1.3052262025078314,0.23731779074963863,0.9237981217967979,0.9489550392452439
BA(k=4),18,9,20302420,56,small,22,0.1311679093915662,1.4363941118993977,0.23943032524948135,0.9162256210456978,0.9398460757245255
BA(k=4),18,9,20302420,56,small,23,0.14619644197155068,1.5825905538709484,0.2432702263480174,0.9062098810275728,0.9284057552652548
BA(k=4),18,9,20302420,56,small,24,0.15759955854168342,1.7401901124126318,0.2878288587036441,0.8839736340530485,0.9149314868104137
BA(k=4),18,9,20302420,56,small,25,0.16604042029257238,1.9062305327052043,0.3536506461488783,0.852948026298286,0.8997389645814939
BA(k=4),18,9,20302420,56,small,26,0.1726869065555769,2.078917439260781,0.4116689082183997,0.8224095041943605,0.8830115722290653
BA(k=4),18,9,20302420,56,small,27,0.17840568276941576,2.257323122030197,0.46318174735145506,0.792523977855326,0.8648010459325468
