family,n,instance,seed,m,ramp,E_cc,k_match,k90,k99,rank_max
BA(k=4),14,5,20302016,40,small,0.9788825680042343,2,1,3,21
BA(k=4),12,6,20301817,32,small,0.9822469094820756,2,1,3,21
BA(k=4),14,6,20302017,40,small,0.9712982272370452,2,2,3,21
BA(k=4),12,7,20301818,32,small,0.9806776616987899,2,2,3,21
BA(k=4),14,7,20302018,40,small,0.9779063045618598,2,1,3,21
BA(k=4),12,8,20301819,32,small,0.9833721909172884,2,1,3,21
BA(k=4),14,8,20302019,40,small,0.9802296592150176,2,1,3,21
BA(k=4),12,9,20301820,32,small,0.98269205155141,2,1,3,21
BA(k=4),14,9,20302020,40,small,0.9733845183047725,2,2,3,21
BA(k=4),12,10,20301821,32,small,0.9827747931515043,2,1,3,21
BA(k=4),14,10,20302021,40,small,0.9714053133955137,2,2,3,21
BA(k=4),12,1,20301812,32,moderate,0.9531187048883284,3,2,4,21
BA(k=4),14,1,20302012,40,moderate,0.9449178172902024,2,2,4,21
BA(k=4),12,2,20301813,32,moderate,0.9504317190345768,3,2,4,21
BA(k=4),14,2,20302013,40,moderate,0.9402605098116158,2,2,4,21
BA(k=4),12,3,20301814,32,moderate,0.9566168854950619,3,2,4,21
BA(k=4),14,3,20302014,40,moderate,0.9444920731738432,2,2,4,21
BA(k=4),12,4,20301815,32,moderate,0.9463476892833247,2,2,3,21
BA(k=4),14,4,20302015,40,moderate,0.9571153371666649,2,2,4,21
BA(k=4),12,5,20301816,32,moderate,0.9451585982241903,2,2,4,21
BA(k=4),14,5,20302016,40,moderate,0.9463401185168873,2,2,4,21
BA(k=4),12,6,20301817,32,moderate,0.9541579002557886,3,2,4,21
BA(k=4),14,6,20302017,40,moderate,0.9392535182790706,2,2,4,21
BA(k=4),12,7,20301818,32,moderate,0.9505166094424785,3,2,4,21
BA(k=4),14,7,20302018,40,moderate,0.9470327632463467,2,2,4,21
BA(k=4),12,8,20301819,32,moderate,0.9567674498497141,2,2,3,21
BA(k=4),14,8,20302019,40,moderate,0.9572957761954151,2,2,4,21
BA(k=4),12,9,20301820,32,moderate,0.9558366684965652,3,2,4,21
BA(k=4),14,9,20302020,40,moderate,0.931201234872173,3,2,4,21
BA(k=4),12,10,20301821,32,moderate,0.9538300138816046,3,2,4,21
BA(k=4),14,10,20302021,40,moderate,0.9297773083109858,2,2,4,21
BA(k=4),12,1,20301812,32,large,0.8794336212525697,3,3,11,21
BA(k=4),14,1,20302012,40,large,0.7775497405147158,2,3,12,21
BA(k=4),12,2,20301813,32,large,0.8628886352322301,3,3,11,21
BA(k=4),14,2,20302013,40,large,0.8046565706382817,2,3,12,21
BA(k=4),12,3,20301814,32,large,0.8656181642222113,3,3,11,21
BA(k=4),14,3,20302014,40,large,0.8073103331432301,2,4,12,21
BA(k=4),12,4,20301815,32,large,0.8505347583650862,3,3,10,21
BA(k=4),14,4,20302015,40,large,0.8277293842761615,2,3,12,21
BA(k=4),12,5,20301816,32,large,0.871914094496057,2,3,10,21
BA(k=4),14,5,20302016,40,large,0.7906275582698468,2,3,12,21
BA(k=4),12,6,20301817,32,large,0.862645684085144,3,3,11,21
BA(k=4),14,6,20302017,40,large,0.835063085430305,2,3,12,21
BA(k=4),12,7,20301818,32,large,0.8516471269475493,3,3,11,21
BA(k=4),14,7,20302018,40,large,0.8028766587788742,2,3,12,21
BA(k=4),12,8,20301819,32,large,0.846520290130805,2,3,11,21
BA(k=4),14,8,20302019,40,large,0.8074400708573359,2,3,12,21
BA(k=4),12,9,20301820,32,large,0.8673912920901893,3,3,11,21
BA(k=4),14,9,20302020,40,large,0.808917079206168,3,4,12,21
BA(k=4),12,10,20301821,32,large,0.8404427609207222,3,3,10,21
BA(k=4),14,10,20302021,40,large,0.7964609235904794,2,4,12,21
WS(k=4;b=0.1),12,1,20311812,24,small,0.9901067580420921,2,1,2,21
WS(k=4;b=0.1),14,1,20312012,28,small,0.986517110375972,2,1,2,21
WS(k=4;b=0.1),12,2,20311813,24,small,0.9895340859193563,2,1,2,21
WS(k=4;b=0.1),14,2,20312013,28,small,0.980702741620073,2,1,3,21
WS(k=4;b=0.1),12,3,20311814,24,small,0.9877939461212929,2,1,2,21
WS(k=4;b=0.1),14,3,20312014,28,small,0.9896701340222323,2,1,2,21
WS(k=4;b=0.1),12,4,20311815,24,small,0.9897713298035332,2,1,2,21
WS(k=4;b=0.1),14,4,20312015,28,small,0.9840635940849689,2,1,3,21
WS(k=4;b=0.1),12,5,20311816,24,small,0.989450001770497,2,1,2,21
WS(k=4;b=0.1),14,5,20312016,28,small,0.986657277627795,2,1,2,21
WS(k=4;b=0.1),12,6,20311817,24,small,0.9927917248258169,2,1,2,21
WS(k=4;b=0.1),14,6,20312017,28,small,0.9885338650105064,2,1,2,21
WS(k=4;b=0.1),12,7,20311818,24,small,0.9901377321382219,2,1,2,21
WS(k=4;b=0.1),14,7,20312018,28,small,0.9876813270514957,2,1,2,21
WS(k=4;b=0.1),12,8,20311819,24,small,0.9885941423961753,2,1,2,21
WS(k=4;b=0.1),14,8,20312019,28,small,0.9831805088344652,2,1,3,21
WS(k=4;b=0.1),12,9,20311820,24,small,0.9897158726822164,2,1,2,21
WS(k=4;b=0.1),14,9,20312020,28,small,0.9860614616877351,2,1,2,21
WS(k=4;b=0.1),12,10,20311821,24,small,0.9920100745038999,2,1,2,21
WS(k=4;b=0.1),14,10,20312021,28,small,0.983176191960335,2,1,3,21
WS(k=4;b=0.1),12,1,20311812,24,moderate,0.9752655821922583,2,2,3,21
WS(k=4;b=0.1),14,1,20312012,28,moderate,0.9701030437169523,2,2,3,21
WS(k=4;b=0.1),12,2,20311813,24,moderate,0.9747506740454042,2,2,3,21
WS(k=4;b=0.1),14,2,20312013,28,moderate,0.9465845477956013,3,2,4,21
WS(k=4;b=0.1),12,3,20311814,24,moderate,0.967191664947855,2,2,3,21
WS(k=4;b=0.1),14,3,20312014,28,moderate,0.976914703538336,2,2,3,21
WS(k=4;b=0.1),12,4,20311815,24,moderate,0.9751458589917364,2,2,3,21
WS(k=4;b=0.1),14,4,20312015,28,moderate,0.9529612258378237,3,2,4,21
WS(k=4;b=0.1),12,5,20311816,24,moderate,0.9724132868301028,3,2,3,21
WS(k=4;b=0.1),14,5,20312016,28,moderate,0.9677037841761827,2,2,3,21
WS(k=4;b=0.1),12,6,20311817,24,moderate,0.9867917359209153,2,2,3,21
WS(k=4;b=0.1),14,6,20312017,28,moderate,0.9690347499534641,2,2,3,21
WS(k=4;b=0.1),12,7,20311818,24,moderate,0.9760940046938303,2,2,3,21
WS(k=4;b=0.1),14,7,20312018,28,moderate,0.9672816042937642,2,2,3,21
WS(k=4;b=0.1),12,8,20311819,24,moderate,0.9731403754517578,2,2,3,21
WS(k=4;b=0.1),14,8,20312019,28,moderate,0.9508263598149591,3,2,4,21
WS(k=4;b=0.1),12,9,20311820,24,moderate,0.9744809081720518,3,2,3,21
WS(k=4;b=0.1),14,9,20312020,28,moderate,0.9627089589269746,2,2,3,21
WS(k=4;b=0.1),12,10,20311821,24,moderate,0.9835470636199634,2,2,3,21
WS(k=4;b=0.1),14,10,20312021,28,moderate,0.9584014473509301,2,2,3,21
WS(k=4;b=0.1),12,1,20311812,24,large,0.9045339676559043,3,2,7,21
WS(k=4;b=0.1),14,1,20312012,28,large,0.91303316718507,3,2,7,21
WS(k=4;b=0.1),12,2,20311813,24,large,0.9127532100453034,3,2,7,21
WS(k=4;b=0.1),14,2,20312013,28,large,0.8726284120405792,2,3,8,21
WS(k=4;b=0.1),12,3,20311814,24,large,0.8659839028882733,2,2,7,21
WS(k=4;b=0.1),14,3,20312014,28,large,0.9161688097197301,2,2,7,21
WS(k=4;b=0.1),12,4,20311815,24,large,0.9062393304272508,2,2,6,21
WS(k=4;b=0.1),14,4,20312015,28,large,0.8699448516266428,3,3,8,21
WS(k=4;b=0.1),12,5,20311816,24,large,0.9093997986154863,3,3,7,21
WS(k=4;b=0.1),14,5,20312016,28,large,0.8827863949317825,2,3,7,21
WS(k=4;b=0.1),12,6,20311817,24,large,0.9454998318355927,3,2,5,21
WS(k=4;b=0.1),14,6,20312017,28,large,0.8935446069076192,3,3,7,21
WS(k=4;b=0.1),12,7,20311818,24,large,0.9303404773859295,2,2,6,21
WS(k=4;b=0.1),14,7,20312018,28,large,0.8968748202360747,3,3,7,21
WS(k=4;b=0.1),12,8,20311819,24,large,0.9138345655053873,2,2,6,21
WS(k=4;b=0.1),14,8,20312019,28,large,0.8761405480894892,3,3,8,21
WS(k=4;b=0.1),12,9,20311820,24,large,0.910941887119568,3,3,7,21
WS(k=4;b=0.1),14,9,20312020,28,large,0.8852698145436633,3,3,7,21
WS(k=4;b=0.1),12,10,20311821,24,large,0.9380090408084177,2,2,6,21
WS(k=4;b=0.1),14,10,20312021,28,large,0.8928920833580404,3,3,8,21
WS(k=4;b=0.5),12,1,20321812,24,small,0.9898867572009651,2,1,2,21
WS(k=4;b=0.5),14,1,20322012,28,small,0.985443062472415,2,1,2,21
WS(k=4;b=0.5),12,2,20321813,24,small,0.9899428890670607,2,1,2,21
WS(k=4;b=0.5),14,2,20322013,28,small,0.981509236374768,2,1,3,21
WS(k=4;b=0.5),12,3,20321814,24,small,0.982437684610426,2,2,3,21
WS(k=4;b=0.5),14,3,20322014,28,small,0.9877251671797364,2,1,2,21
WS(k=4;b=0.5),12,4,20321815,24,small,0.9890101638633143,2,1,2,21
WS(k=4;b=0.5),14,4,20322015,28,small,0.9811589325250549,2,2,3,21
WS(k=4;b=0.5),12,5,20321816,24,small,0.9845107719722728,2,1,2,21
WS(k=4;b=0.5),14,5,20322016,28,small,0.9850972363192095,2,1,2,21
WS(k=4;b=0.5),12,6,20321817,24,small,0.9899260905253006,2,1,2,21
WS(k=4;b=0.5),14,6,20322017,28,small,0.9827100024381026,2,1,3,21
WS(k=4;b=0.5),12,7,20321818,24,small,0.9814792650033107,2,2,3,21
WS(k=4;b=0.5),14,7,20322018,28,small,0.9744586535730067,2,2,3,21
WS(k=4;b=0.5),12,8,20321819,24,small,0.9868172568090083,2,1,2,21
WS(k=4;b=0.5),14,8,20322019,28,small,0.984627958897383,2,1,3,21
WS(k=4;b=0.5),12,9,20321820,24,small,0.9897729377037552,2,1,2,21
WS(k=4;b=0.5),14,9,20322020,28,small,0.9824968236030649,2,2,3,21
WS(k=4;b=0.5),12,10,20321821,24,small,0.990230237209974,2,1,2,21
WS(k=4;b=0.5),14,10,20322021,28,small,0.979560871605023,2,2,3,21
WS(k=4;b=0.5),12,1,20321812,24,moderate,0.976990468981786,2,2,3,21
WS(k=4;b=0.5),14,1,20322012,28,moderate,0.9637219696772735,2,2,3,21
WS(k=4;b=0.5),12,2,20321813,24,moderate,0.9766144914999102,2,2,3,21
WS(k=4;b=0.5),14,2,20322013,28,moderate,0.9532021136509561,2,2,3,21
WS(k=4;b=0.5),12,3,20321814,24,moderate,0.9512877901237049,3,2,3,21
WS(k=4;b=0.5),14,3,20322014,28,moderate,0.969802336281482,2,2,3,21
WS(k=4;b=0.5),12,4,20321815,24,moderate,0.9683869914634532,2,2,3,21
WS(k=4;b=0.5),14,4,20322015,28,moderate,0.9419562127685126,3,2,4,21
WS(k=4;b=0.5),12,5,20321816,24,moderate,0.9567254558488998,2,2,3,21
WS(k=4;b=0.5),14,5,20322016,28,moderate,0.9642845382698626,2,2,3,21
WS(k=4;b=0.5),12,6,20321817,24,moderate,0.9742701266828849,2,2,3,21
WS(k=4;b=0.5),14,6,20322017,28,moderate,0.9526211129169484,2,2,3,21
WS(k=4;b=0.5),12,7,20321818,24,moderate,0.9518448705834268,3,2,4,21
WS(k=4;b=0.5),14,7,20322018,28,moderate,0.9293450920073523,3,3,4,21
WS(k=4;b=0.5),12,8,20321819,24,moderate,0.9606691726530537,2,2,3,21
WS(k=4;b=0.5),14,8,20322019,28,moderate,0.9547434838518895,2,2,3,21
