family,n,instance,seed,ramp,g1,gf,b1,bf,layer,leakage,cum_leakage,distance,overlap,compressed_norm
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,12,0.04589415226879694,0.23015671842629967,0.10900514414025232,0.9910642974319871,0.9969985481629229
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,13,0.05143430133295561,0.28159101975925527,0.12301437283142982,0.9881251856758934,0.9956709384557565
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,14,0.050416265306459075,0.33200728506571436,0.12980921446829108,0.9860108762776848,0.9943936936032509
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,15,0.0462020987696434,0.3782093838353578,0.13516888994554047,0.98424798412114,0.9933197792992924
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,16,0.044745671213285,0.4229550550486428,0.1446191198162146,0.981942935050086,0.9923114475077203
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,17,0.05056659537997771,0.4735216504286205,0.15646922409930278,0.9789263796055695,0.9910222138209334
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,18,0.061884151123264605,0.5354058015518851,0.1650520382639128,0.9757476271994037,0.989088155892233
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,19,0.0742567038090755,0.6096625053609606,0.16801877895023823,0.9727315304417617,0.9862967718013215
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,20,0.08454699860970095,0.6942095039706615,0.16913924239415537,0.9693553061286895,0.9826663355848719
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,1,0.006876435588810395,0.006876435588810395,0.006876435588810395,0.9999527146335951,0.9999763570373033
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,2,0.016781476486857055,0.023657912075667448,0.022191796585754178,0.9995893113301312,0.9998355348158618
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,3,0.014680935029978045,0.038338847105645495,0.03329852611308667,0.9991734056628213,0.9997277463525585
3-regular,14,4,20332016,small,0.1,0.4,0.4,0.1,4,0.0035685511491770775,0.04190739825482257,0.03532132707096953,0.9990976448305586,0.9997213773196307
